Generation,Sex,Treatment,Sugar Weight,Glucose,Trehalose,Glycogen
F1,female,LSD,3.55,6.774864177,14.5331763,26.46293723
F1,female,LSD,3.4,10.00813149,10.6159597,47.47897711
F1,female,LSD,3.28,12.94039608,12.88083455,20.96999361
F1,female,LSD,3.94,12.36148283,21.16501165,52.99427052
F1,female,LSD,3.74,12.92076369,3.828080753,28.46036072
F1,female,LSD,3.79,12.83868403,2.48937284,42.66538421
F1,female,CD,3.56,15.20032574,7.411557203,30.24561485
F1,female,CD,3.58,9.06870244,31.420181,27.39238525
F1,female,CD,3.54,7.582623655,23.41879307,33.44304266
F1,female,CD,3.45,7.950025306,18.19767178,26.09027971
F1,female,CD,3.89,15.51401307,26.47649022,33.35848734
F1,female,CD,3.71,9.854179645,25.83046261,41.05882881
F1,female,CD,3.42,7.921315649,34.21278288,23.40556764
F1,female,CD,4.02,16.09380241,23.991524,57.31304938
F1,female,HSD,3.81,6.497620738,18.11701418,92.46129495
F1,female,HSD,3.44,10.45130103,12.86805434,59.73490074
F1,female,HSD,3.65,14.9839656,1.741048755,16.5572461
F1,female,HSD,3.57,13.55301638,17.43146093,25.55583682
F1,female,HSD,3.79,11.47223196,30.6335482,31.75090523
F1,female,HSD,3.68,11.96754512,23.33469766,41.59564077
F1,female,HSD,3.12,17.33683005,29.2197423,14.26802607
F1,female,HSD,3.4,11.64054317,15.16148315,40.55499421
F2,male,NSD,2.51,19.93974105,9.555911885,7.600425714
F2,male,NSD,2.64,14.16056396,8.017809694,7.911070196
F2,male,NSD,2.56,7.20777299,18.72923198,13.81703193
F2,male,NSD,2.58,7.955958797,16.73400307,4.377434126
F2,male,NSD,2.52,9.071287184,14.63300922,5.783918047
F2,male,NSD,2.54,11.7588888,11.2538323,7.32449828
F2,male,NSD,2.66,10.80711815,20.51548113,7.65299231
F2,male,NSD,2.33,9.194318797,12.93452353,9.089707665
F2,male,LSD,2.62,7.219756539,19.30846642,24.70522369
F2,male,LSD,2.4,7.249065571,11.93317655,18.15536686
F2,male,LSD,2.52,9.912149442,11.43269116,23.71307945
F2,male,LSD,2.48,9.969313635,13.69589637,18.02598478
F2,male,LSD,2.48,11.04763267,9.204982376,18.40155805
F2,male,LSD,2.59,13.38203299,13.80176481,17.89140115
F2,male,LSD,2.58,12.26499073,20.02550399,16.08536416
F2,male,LSD,2.39,14.33156622,21.12802387,25.28247554
