,,Glucose,,Trehalose,,Glycogen,,TAG,
,,Female,Male,Female,Male,Female,Male,Female,Male
No vs Low,Pearson r value,0.9548 ,0.830646,0.9763834,0.941385,0.690431,0.968454,0.976038,0.173526
,p-value,0.0115 ,0.0815,0.004341,0.01407,0.1969,0.00669,0.004437,0.7802
No vs High,Pearson r value,0.088501,-0.056881,0.966936,0.929385,-0.182649,0.738498,0.449794,0.0772378
,p-value,0.8875,0.9276,0.00718,0.02229,0.7687,0.1541,0.4472,0.9018
Low vs High,Pearson r value,0.251475,0.1429702,0.9000884,0.9754889,-0.569162,0.7210822,0.396502,0.1407709
,p-value,0.6832,0.8186,0.0369,0.00459,0.3166,0.1541,0.5087,0.8214
