Study,Generation,Sex,Treatment,Sugar Weight,Glucose,Trehalose,Glycogen
Main,F0,male,NSD,2.42,1.6827,4.3954,13.0995
Main,F0,male,NSD,2.49,0.2958,2.0263,14.7744
Main,F0,male,NSD,2.49,3.5232,4.7662,14.2014
Main,F0,male,NSD,2.37,2.9818,3.0987,12.1123
Main,F0,male,NSD,2.45,1.2497,1.7685,12.2646
Main,F0,male,NSD,2.51,3.0202,2.8516,12.5138
Main,F0,male,NSD,2.53,5.0823,4.8896,15.5597
Main,F0,female,NSD,3.67,1.156,2.685,13.577
Main,F0,female,NSD,3.23,0.1808,2.1923,14.3832
Main,F0,female,NSD,3.27,3.8176,2.8282,13.1556
Main,F0,female,NSD,3.33,3.3691,4.7476,16.3876
Main,F0,female,NSD,3.45,4.0874,7.3858,11.668
Main,F0,female,NSD,3.72,3.9543,5.0452,15.3561
Main,F0,female,NSD,3.92,2.7973,7.6554,12.6063
Main,F0,female,NSD,3.43,4.519,1.7541,16.2911
Main,F0,female,NSD,3.6,6.1813,7.3426,16.2989
Main,F0,female,NSD,3.64,1.4907,3.8645,14.9989
Main,F0,female,NSD,3.64,3.1349,4.0384,14.9398
Main,F0,male,LSD,2.42,7.1287,17.0514,25.03
Main,F0,male,LSD,2.53,7.2019,5.9545,22.8104
Main,F0,male,LSD,2.35,9.1885,13.793,24.0119
Main,F0,male,LSD,2.33,8.4969,10.6873,25.1248
Main,F0,male,LSD,2.14,9.2948,15.2544,25.046
Main,F0,male,LSD,2.47,12.4377,14.7576,23.5306
Main,F0,male,LSD,2.42,5.365,19.3383,26.2196
Main,F0,male,LSD,2.34,9.4692,11.0896,23.6369
Main,F0,male,LSD,2.37,11.592,20.858,20.3954
Main,F0,male,LSD,2.45,9.9367,9.9648,24.9177
Main,F0,male,LSD,2.46,5.9637,12.0422,16.0997
Main,F0,female,LSD,3.56,8.7562,9.595,24.0535
Main,F0,female,LSD,3.62,10.4104,9.6516,32.1503
Main,F0,female,LSD,3.65,9.5456,15.1285,34.1696
Main,F0,female,LSD,3.27,13.8857,17.3475,33.2608
Main,F0,female,LSD,3.33,5.403,10.8127,17.395
Main,F0,female,LSD,3.44,15.6775,14.3008,35.0032
Main,F0,female,LSD,3.4,11.3418,12.51,27.3801
Main,F0,female,LSD,3.41,7.6005,17.4178,29.9606
Main,F0,female,LSD,3.12,15.6041,14.4614,34.0864
Main,F0,female,LSD,3.81,11.1156,16.2859,35.1352
Main,F0,female,LSD,3.29,10.1281,9.0512,18.3274
Main,F0,male,HSD,2.56,5.6745,39.9288,66.3355
Main,F0,male,HSD,2.49,7.396,18.6196,51.3335
Main,F0,male,HSD,2.45,8.7291,14.152,35.3327
Main,F0,male,HSD,2.46,14.3465,22.9606,54.2321
Main,F0,male,HSD,2.45,10.3782,23.0152,41.5937
Main,F0,male,HSD,2.52,12.5888,24.1593,41.524
Main,F0,male,HSD,2.42,10.6538,10.3123,46.5467
Main,F0,male,HSD,2.58,11.1842,33.247,38.8153
Main,F0,male,HSD,2.39,11.5509,11.8942,40.3331
Main,F0,male,HSD,2.48,10.3028,19.0122,46.6612
Main,F0,male,HSD,2.53,10.0458,25.9621,49.7389
Main,F0,female,HSD,3.77,10.751,41.6903,67.8278
Main,F0,female,HSD,3.4,10.8052,32.2003,52.6669
Main,F0,female,HSD,3.47,15.6194,30.4736,68.2443
Main,F0,female,HSD,3.47,12.9785,23.0739,65.0234
Main,F0,female,HSD,3.55,12.3267,26.2779,67.4359
Main,F0,female,HSD,3.4,18.9959,16.3368,61.0658
Main,F0,female,HSD,3.44,18.8137,38.5293,49.2575
Main,F0,female,HSD,3.13,11.1749,25.7321,58.7107
Main,F0,female,HSD,3.29,15.4284,16.9791,79.7914
Main,F0,female,HSD,3.61,13.5578,19.1641,56.1112
Main,F0,female,HSD,3.53,12.1601,33.3554,65.5013
Main,F0,male,CD,2.64,9.1971,11.7047,27.9651
Main,F0,male,CD,2.41,12.1341,23.3486,32.1843
Main,F0,male,CD,2.53,8.459,7.0983,25.315
Main,F0,male,CD,2.57,10.7425,24.0519,21.3788
Main,F0,male,CD,2.46,12.1244,19.0753,22.049
Main,F0,male,CD,2.51,13.9029,9.4124,24.7423
Main,F0,male,CD,2.57,9.3775,9.0769,21.0084
Main,F0,male,CD,2.46,8.681,18.898,35.1106
Main,F0,male,CD,2.5,12.4035,18.3739,25.1036
Main,F0,male,CD,2.54,10.8608,26.697,21.6241
Main,F0,male,CD,2.49,8.4975,10.3983,17.1003
Main,F0,female,CD,3.59,11.4086,9.6018,31.8954
Main,F0,female,CD,3.66,9.7714,14.8785,41.0707
Main,F0,female,CD,3.27,14.0925,22.4304,37.0683
Main,F0,female,CD,3.39,14.1059,22.0568,49.6846
Main,F0,female,CD,3.53,14.2709,15.0754,30.8294
Main,F0,female,CD,3.72,15.4286,15.7133,46.3551
Main,F0,female,CD,3.55,13.1525,16.4853,35.4543
Main,F0,female,CD,3.4,12.0633,17.4542,44.9994
Main,F0,female,CD,3.23,9.813,26.6447,31.835
Main,F0,female,CD,3.82,15.2923,21.7205,68.1784
Main,F0,female,CD,3.68,23.7179,18.508,49.9657
Main,F1,male,NSD,2.64,7.9144,3.432,22.7722
Main,F1,male,NSD,2.4,5.3326,5.8782,27.4865
Main,F1,male,NSD,2.7,10.7197,3.0754,21.5465
Main,F1,male,NSD,2.79,9.7457,6.2418,16.6179
Main,F1,male,NSD,2.59,9.835,3.5259,25.7394
Main,F1,male,NSD,2.49,9.4731,6.0571,13.6639
Main,F1,male,NSD,2.68,6.848,1.956,19.8589
Main,F1,male,NSD,2.58,10.5929,4.0671,14.6444
Main,F1,male,NSD,2.48,8.4793,4.6518,13.6866
Main,F1,male,NSD,2.42,10.128,5.4804,11.0343
Main,F1,male,NSD,2.47,9.8742,15.9706,15.6219
Main,F1,male,NSD,2.42,10.0809,10.1274,16.2868
Main,F1,male,NSD,2.37,10.829,10.0708,17.7681
Main,F1,male,NSD,2.42,12.0813,15.4287,15.0966
Main,F1,male,NSD,2.52,9.3902,9.7989,12.1401
Main,F1,male,NSD,2.5,9.9749,8.7378,9.1945
Main,F1,male,NSD,2.51,9.5718,11.0563,17.2427
Main,F1,male,NSD,2.39,11.5998,12.9374,7.0846
Main,F1,male,NSD,2.57,8.48,2.8485,30.4454
Main,F1,male,NSD,2.68,8.6855,8.653,25.089
Main,F1,male,NSD,2.45,8.9714,5.7207,16.9892
Main,F1,male,NSD,2.45,7.5925,6.8835,19.4978
Main,F1,male,NSD,2.58,6.8929,9.0175,9.7402
Main,F1,male,NSD,2.65,6.9292,6.5504,9.8164
Main,F1,male,NSD,2.65,8.2131,5.989,4.2501
Main,F1,male,NSD,2.45,9.2671,8.3918,7.8915
Main,F1,male,NSD,2.59,9.901,2.7213,9.9282
Main,F1,male,NSD,2.6,9.4531,7.6691,10.3037
Main,F1,male,NSD,2.58,8.0656,8.2667,17.4921
Main,F1,male,NSD,2.56,5.559,2.6973,12.8753
Main,F1,male,NSD,2.52,6.4148,5.0363,14.5431
Main,F1,male,NSD,2.49,6.8461,3.7392,9.0509
Main,F1,male,NSD,2.53,6.5819,5.1152,15.0978
Main,F1,female,NSD,3.5,10.3772,8.8132,29.8863
Main,F1,female,NSD,3.48,9.4181,10.4997,21.5423
Main,F1,female,NSD,3.68,11.8797,10.948,31.3606
Main,F1,female,NSD,3.44,13.8232,11.08,27.0395
Main,F1,female,NSD,3.8,14.8217,14.1442,41.4372
Main,F1,female,NSD,3.64,9.7061,10.5084,21.4881
Main,F1,female,NSD,3.87,8.8646,13.0358,24.0799
Main,F1,female,NSD,3.64,16.6749,16.9221,36.3937
Main,F1,female,NSD,3.48,8.4975,8.1906,29.4687
Main,F1,female,NSD,3.52,9.1838,8.4707,26.9724
Main,F1,female,NSD,3.69,6.9586,9.4107,23.888
Main,F1,female,NSD,3.71,14.2834,15.2506,23.3997
Main,F1,female,NSD,3.59,16.8764,18.2697,33.4153
Main,F1,female,NSD,3.62,12.4768,15.8636,26.4125
Main,F1,female,NSD,3.62,17.4396,27.302,31.4006
Main,F1,female,NSD,3.54,13.25,14.2666,30.0809
Main,F1,female,NSD,3.5,11.1288,6.6236,16.4549
Main,F1,female,NSD,3.4,15.9273,11.0006,28.4296
Main,F1,female,NSD,3.56,13.7663,16.279,27.9934
Main,F1,female,NSD,3.63,9.3385,9.9451,21.9718
Main,F1,female,NSD,3.41,11.2064,18.9585,35.6362
Main,F1,female,NSD,3.45,11.1435,11.4434,25.2331
Main,F1,female,NSD,3.45,15.2794,16.6947,30.8398
Main,F1,female,NSD,3.82,16.5269,20.6231,20.4412
Main,F1,female,NSD,3.51,13.9938,26.2316,21.7724
Main,F1,female,NSD,3.64,13.9071,19.0911,13.0801
Main,F1,female,NSD,3.45,20.9929,17.0118,22.6195
Main,F1,female,NSD,3.42,8.9466,6.2625,12.0642
Main,F1,female,NSD,3.86,16.7407,20.5279,25.8845
Main,F1,female,NSD,3.5,12.1727,9.8738,16.2179
Main,F1,female,NSD,3.49,12.704,17.6699,20.7825
Main,F1,female,NSD,3.65,18.3716,19.4166,21.4418
Main,F1,female,NSD,3.2,11.8632,24.1711,18.3346
Main,F1,male,LSD,2.42,6.2893,7.0822,14.211
Main,F1,male,LSD,2.61,4.2695,7.3094,0
Main,F1,male,LSD,2.66,8.8108,6.4069,12.4629
Main,F1,male,LSD,2.37,5.6949,8.3499,11.2484
Main,F1,male,LSD,2.39,6.6255,6.0593,12.814
Main,F1,male,LSD,2.45,5.3126,3.5348,3.8322
Main,F1,male,LSD,2.5,7.0185,13.0504,7.969
Main,F1,male,LSD,2.5,9.5409,9.1096,8.012
Main,F1,male,LSD,2.47,6.093,9.1393,8.2679
Main,F1,male,LSD,2.65,11.7987,15.9026,18.8435
Main,F1,male,LSD,2.36,8.0369,6.0864,10.2681
Main,F1,male,LSD,2.49,6.1894,21.7396,12.2916
Main,F1,male,LSD,2.49,9.5592,4.0054,15.322
Main,F1,male,LSD,2.47,9.161,5.5801,15.7759
Main,F1,male,LSD,2.39,6.8179,7.3209,10.7069
Main,F1,male,LSD,2.54,8.6371,4.0505,13.9128
Main,F1,male,LSD,2.43,8.4213,8.8324,17.1203
Main,F1,male,LSD,2.55,7.0543,7.1201,20.1242
Main,F1,male,LSD,2.62,10.4703,6.8884,22.0904
Main,F1,male,LSD,2.62,8.184,11.3025,19.2956
Main,F1,male,LSD,2.38,9.603,9.1692,16.1805
Main,F1,male,LSD,2.57,10.4597,6.9698,22.7589
Main,F1,male,LSD,2.55,10.635,11.8857,13.7495
Main,F1,male,LSD,2.52,6.7986,8.9753,9.7074
Main,F1,male,LSD,2.76,10.4749,11.7334,14.5617
Main,F1,male,LSD,2.62,10.2852,14.6214,12.1112
Main,F1,male,LSD,2.71,6.0357,10.4644,1.9831
Main,F1,male,LSD,2.5,7.242,6.1047,6.2719
Main,F1,male,LSD,2.36,7.4322,7.0697,6.5009
Main,F1,male,LSD,2.52,7.1698,5.4637,19.6874
Main,F1,male,LSD,2.59,8.5208,5.9447,13.1862
Main,F1,male,LSD,2.45,6.7202,12.2551,12.5866
Main,F1,male,LSD,2.46,6.3662,6.6732,10.6009
Main,F1,female,LSD,3.4,9.9925,9.8517,29.4849
Main,F1,female,LSD,3.48,13.6677,21.3487,33.5833
Main,F1,female,LSD,3.43,10.0206,9.9306,26.7416
Main,F1,female,LSD,3.47,11.135,6.1853,27.501
Main,F1,female,LSD,3.49,12.3626,14.8475,36.7174
Main,F1,female,LSD,3.37,8.467,7.3694,22.3139
Main,F1,female,LSD,3.29,11.4344,8.274,14.688
Main,F1,female,LSD,3.29,14.5712,24.134,36.0733
Main,F1,female,LSD,3.41,8.213,4.0988,12.024
Main,F1,female,LSD,3.39,10.0141,21.865,19.1579
Main,F1,female,LSD,3.39,14.389,19.0796,26.6601
Main,F1,female,LSD,3.33,11.2405,11.313,17.8656
Main,F1,female,LSD,3.13,16.4886,14.0273,22.5499
Main,F1,female,LSD,3.69,19.1815,18.4829,32.1863
Main,F1,female,LSD,3.22,13.0352,2.9234,19.9756
Main,F1,female,LSD,3.49,12.9313,8.2331,22.4675
Main,F1,female,LSD,3.52,13.7627,7.3743,35.3806
Main,F1,female,LSD,3.62,10.7883,15.1758,28.2392
Main,F1,female,LSD,3.61,15.862,16.3554,25.8586
Main,F1,female,LSD,3.42,12.7172,11.2798,30.7755
Main,F1,female,LSD,3.74,19.8038,21.4393,32.8652
Main,F1,female,LSD,3.61,14.2519,10.3156,34.4535
Main,F1,female,LSD,3.63,14.8707,9.3175,18.0423
Main,F1,female,LSD,3.42,14.7063,6.4394,13.9991
Main,F1,female,LSD,3.6,19.4737,10.3447,23.2471
Main,F1,female,LSD,3.61,12.7455,8.7417,28.9994
Main,F1,female,LSD,3.82,9.9687,8.2212,20.774
Main,F1,female,LSD,3.87,7.8935,5.2983,15.0096
Main,F1,female,LSD,3.59,8.5923,9.2171,11.824
Main,F1,female,LSD,3.63,12.7559,12.7245,17.7909
Main,F1,female,LSD,3.63,10.4412,11.2348,17.2278
Main,F1,female,LSD,3.76,12.1962,6.7512,10.8787
Main,F1,female,LSD,3.75,12.0328,10.6916,15.8162
Main,F1,male,HSD,2.61,6.0765,6.2683,8.7049
Main,F1,male,HSD,2.62,7.0842,8.7148,24.9628
Main,F1,male,HSD,2.53,7.4576,10.3166,17.4443
Main,F1,male,HSD,2.56,5.095,12.4687,8.6257
Main,F1,male,HSD,2.48,3.0754,12.2149,19.9096
Main,F1,male,HSD,2.57,4.7327,8.8232,12.5523
Main,F1,male,HSD,2.5,5.5774,17.4856,13.6817
Main,F1,male,HSD,2.38,7.1125,11.9023,11.7059
Main,F1,male,HSD,2.42,7.5879,7.308,10.9825
Main,F1,male,HSD,2.56,7.3111,8.6778,13.4588
Main,F1,male,HSD,2.5,8.0472,13.1744,13.8726
Main,F1,male,HSD,2.56,5.2624,4.9614,11.0996
Main,F1,male,HSD,2.51,8.3048,15.3867,15.214
Main,F1,male,HSD,2.61,6.7865,9.2764,29.0708
Main,F1,male,HSD,2.48,9.8996,15.1126,21.6466
Main,F1,male,HSD,2.47,4.4904,1.8075,18.4906
Main,F1,male,HSD,2.52,6.9603,3.9036,12.7786
Main,F1,male,HSD,2.63,8.5052,3.556,27.673
Main,F1,male,HSD,2.53,9.1599,18.8479,28.5486
Main,F1,male,HSD,2.49,6.0391,8.5219,13.6132
Main,F1,male,HSD,2.51,7.6837,9.9048,15.4043
Main,F1,male,HSD,2.5,7.9967,11.0812,23.7675
Main,F1,male,HSD,2.55,6.5185,9.5833,8.9065
Main,F1,male,HSD,2.5,8.1199,9.0845,14.5746
Main,F1,male,HSD,2.5,6.4277,9.186,3.1212
Main,F1,male,HSD,2.46,11.0321,8.1473,11.4821
Main,F1,male,HSD,2.36,2.6223,7.1639,7.5037
Main,F1,male,HSD,2.36,4.5363,6.6424,2.4721
Main,F1,male,HSD,2.46,6.6605,7.2168,12.3735
Main,F1,male,HSD,2.53,6.0314,11.3473,10.5447
Main,F1,male,HSD,2.46,6.2973,8.0594,7.5978
Main,F1,male,HSD,2.46,5.8963,7.2888,4.2704
Main,F1,male,HSD,2.5,6.726,5.682,9.2785
Main,F1,female,HSD,3.61,8.9276,12.6184,19.5635
Main,F1,female,HSD,3.64,13.1955,19.1081,34.9421
Main,F1,female,HSD,3.73,11.4434,19.618,45.84
Main,F1,female,HSD,3.53,9.5245,10.6826,18.4807
Main,F1,female,HSD,3.65,8.7257,21.5122,28.7179
Main,F1,female,HSD,3.53,12.5207,22.1755,34.3431
Main,F1,female,HSD,3.91,13.7234,18.1548,31.3747
Main,F1,female,HSD,3.5,10.146,12.251,33.6984
Main,F1,female,HSD,3.74,14.8607,12.0952,27.8059
Main,F1,female,HSD,3.36,9.4924,15.8248,18.1823
Main,F1,female,HSD,3.57,8.351,10.8626,22.7616
Main,F1,female,HSD,3.38,14.8368,18.5061,23.7985
Main,F1,female,HSD,3.66,5.717,15.4136,31.0655
Main,F1,female,HSD,3.69,12.6499,14.4304,41.3371
Main,F1,female,HSD,3.49,8.7272,11.2063,24.5068
Main,F1,female,HSD,3.35,7.5932,12.6224,30.4787
Main,F1,female,HSD,3.58,9.5685,14.9843,27.2328
Main,F1,female,HSD,3.52,12.8761,16.4481,40.3594
Main,F1,female,HSD,3.56,10.769,7.071,26.4008
Main,F1,female,HSD,3.56,11.2533,11.3942,32.9076
Main,F1,female,HSD,3.65,12.2132,17.5206,37.4619
Main,F1,female,HSD,3.61,8.9845,13.3953,36.0683
Main,F1,female,HSD,3.68,10.6059,6.5416,20.1156
Main,F1,female,HSD,3.41,11.1926,19.7038,18.6508
Main,F1,female,HSD,3.67,9.1858,13.487,33.1165
Main,F1,female,HSD,3.76,7.9248,9.0153,29.1752
Main,F1,female,HSD,3.49,8.3494,9.7385,21.3629
Main,F1,female,HSD,3.58,11.353,4.3184,18.6144
Main,F1,female,HSD,3.48,5.8672,4.5493,7.2347
Main,F1,female,HSD,3.63,9.2199,10.2334,24.1832
Main,F1,female,HSD,3.36,9.8397,11.458,13.7527
Main,F1,female,HSD,3.67,13.2944,17.3188,28.5923
Main,F1,female,HSD,3.49,5.2962,6.6906,10.1271
Main,F1,male,CD,2.64,6.2249,7.1626,24.0616
Main,F1,male,CD,2.66,7.031,6.4188,17.5634
Main,F1,male,CD,2.5,6.0136,7.9468,20.3595
Main,F1,male,CD,2.25,5.2909,12.9375,19.9595
Main,F1,male,CD,2.56,6.9913,9.5031,23.7097
Main,F1,male,CD,2.63,9.2255,17.4305,27.3173
Main,F1,male,CD,2.47,7.7936,8.5484,23.9367
Main,F1,male,CD,2.52,6.8211,9.7111,17.8909
Main,F1,male,CD,2.46,8.8768,12.4414,20.5216
Main,F1,male,CD,2.48,7.2762,7.2967,15.3208
Main,F1,male,CD,2.57,9.2334,7.5953,29.4427
Main,F1,male,CD,2.54,8.3496,14.5268,21.1673
Main,F1,male,CD,2.67,6.3309,2.4508,18.8647
Main,F1,male,CD,2.69,6.2135,11.6774,24.4833
Main,F1,male,CD,2.49,7.8425,2.0633,15.3272
Main,F1,male,CD,2.55,5.299,15.628,25.2305
Main,F1,male,CD,2.68,8.7527,12.3054,25.272
Main,F1,male,CD,2.62,7.8433,5.9596,14.011
Main,F1,male,CD,2.48,6.5899,7.31,11.6221
Main,F1,male,CD,2.63,8.067,5.6681,18.7293
Main,F1,male,CD,2.55,6.9719,13.3124,15.8899
Main,F1,male,CD,2.51,6.613,14.5509,15.3083
Main,F1,male,CD,2.57,7.0057,7.2326,11.6637
Main,F1,male,CD,2.51,10.0885,13.2704,10.9638
Main,F1,male,CD,2.44,6.9844,5.3144,11.9366
Main,F1,male,CD,2.65,3.9287,1.6023,14.035
Main,F1,male,CD,2.49,8.5198,2.5336,5.1501
Main,F1,male,CD,2.64,6.3911,6.7016,5.4151
Main,F1,male,CD,2.62,6.7512,9.7938,5.8424
Main,F1,male,CD,2.64,6.4894,5.9514,9.5245
Main,F1,male,CD,2.49,7.2721,8.0031,9.3099
Main,F1,male,CD,2.61,7.7891,13.9581,11.5259
Main,F1,male,CD,2.64,7.4179,6.4587,12.6465
Main,F1,female,CD,3.57,10.4677,14.1104,19.9446
Main,F1,female,CD,3.63,13.0126,16.3107,31.9034
Main,F1,female,CD,3.7,13.0767,17.4521,27.3061
Main,F1,female,CD,3.46,10.0245,15.738,17.7372
Main,F1,female,CD,3.49,9.9779,13.8993,18.3186
Main,F1,female,CD,3.47,10.7048,16.2474,31.2458
Main,F1,female,CD,3.54,13.8554,11.8061,21.1147
Main,F1,female,CD,3.69,9.3694,11.1176,15.1086
Main,F1,female,CD,3.27,9.5779,12.7465,18.1147
Main,F1,female,CD,3.37,10.565,26.0497,28.5022
Main,F1,female,CD,3.5,11.3396,14.5577,17.5472
Main,F1,female,CD,3.6,6.008,2.3789,10.1856
Main,F1,female,CD,3.7,7.019,4.0626,17.659
Main,F1,female,CD,3.93,15.5886,5.6783,26.4355
Main,F1,female,CD,3.47,13.0094,20.2526,40.9121
Main,F1,female,CD,3.56,14.1629,12.3647,24.1646
Main,F1,female,CD,3.63,6.7961,20.4799,19.7028
Main,F1,female,CD,3.42,14.7569,20.326,32.6432
Main,F1,female,CD,3.71,8.3251,20.6428,30.6772
Main,F1,female,CD,3.48,8.6721,15.7415,31.8729
Main,F1,female,CD,3.52,9.6155,22.0121,15.7225
Main,F1,female,CD,3.47,8.4032,9.0795,20.1612
Main,F1,female,CD,3.44,5.6293,9.7588,8.2385
Main,F1,female,CD,3.46,9.4766,10.9081,14.8724
Main,F1,female,CD,3.54,11.8622,16.2535,17.04
Main,F1,female,CD,3.49,8.4771,11.6818,15.6787
Main,F1,female,CD,3.66,10.3269,8.9955,13.481
Main,F1,female,CD,3.31,8.4061,0,5.036
Main,F1,female,CD,3.55,8.7809,7.9964,10.4935
Main,F1,female,CD,3.44,13.2917,6.8658,12.5546
Main,F1,female,CD,3.89,10.97,10.0675,34.7798
Main,F1,female,CD,3.77,11.9704,12.7776,28.1161
Main,F1,female,CD,3.72,13.9849,9.4342,29.9745
Main,F2,male,NSD,2.49,8.9562,14.1928,21.6449
Main,F2,male,NSD,2.31,5.1271,15.3614,11.3026
Main,F2,male,NSD,2.47,7.7738,18.9126,10.3578
Main,F2,male,NSD,2.65,6.1165,15.1998,16.8038
Main,F2,male,NSD,2.42,5.8573,14.0538,10.3915
Main,F2,male,NSD,2.49,5.9998,13.3542,14.1422
Main,F2,male,NSD,2.49,7.116,9.6237,13.3657
Main,F2,male,NSD,2.37,5.9328,15.1063,13.7127
Main,F2,male,NSD,2.45,8.3655,17.925,14.6348
Main,F2,male,NSD,2.51,7.7281,18.0357,23.2364
Main,F2,male,NSD,2.53,5.7633,14.2495,13.6963
Main,F2,male,NSD,2.44,6.7808,11.5288,6.5616
Main,F2,male,NSD,2.53,9.9594,14.1994,11.4658
Main,F2,male,NSD,2.41,7.9271,17.61,10.8312
Main,F2,male,NSD,2.46,9.3919,13.4519,7.1991
Main,F2,male,NSD,2.48,10.4125,17.2629,11.5994
Main,F2,male,NSD,2.44,9.7336,11.3677,8.0582
Main,F2,male,NSD,2.61,5.7734,11.2367,9.6832
Main,F2,male,NSD,2.43,5.9073,11.9515,8.347
Main,F2,male,NSD,2.46,5.7378,11.9113,7.079
Main,F2,male,NSD,2.2,7.7964,13.8255,8.0145
Main,F2,male,NSD,2.24,6.2082,19.4629,9.097
Main,F2,male,NSD,2.37,8.484,29.0104,22.6747
Main,F2,male,NSD,2.4,3.753,15.6235,20.2854
Main,F2,male,NSD,2.45,6.1011,16.5802,23.6887
Main,F2,male,NSD,2.2,8.2673,23.5497,27.0855
Main,F2,male,NSD,2.46,7.8485,20.6384,24.7299
Main,F2,male,NSD,2.37,8.4797,18.5056,23.8398
Main,F2,male,NSD,2.42,2.7426,19.6234,21.8336
Main,F2,male,NSD,2.44,6.1475,20.7381,28.6133
Main,F2,male,NSD,2.4,3.9715,18.8004,25.7422
Main,F2,male,NSD,2.49,4.9699,20.3978,26.1803
Main,F2,male,NSD,2.6,3.6536,20.6611,25.0948
Main,F2,female,NSD,3.67,7.2228,13.1505,15.6929
Main,F2,female,NSD,3.23,6.1196,20.6121,31.7219
Main,F2,female,NSD,3.27,9.4087,17.0347,24.7617
Main,F2,female,NSD,3.33,9.3499,18.5127,36.9336
Main,F2,female,NSD,3.45,8.2306,19.6084,29.3099
Main,F2,female,NSD,3.72,6.6323,19.1722,22.5739
Main,F2,female,NSD,3.92,7.8487,21.9382,17.7615
Main,F2,female,NSD,3.43,7.8257,21.5682,42.4396
Main,F2,female,NSD,3.6,7.7946,12.5669,17.3959
Main,F2,female,NSD,3.64,7.1597,18.3974,21.3408
Main,F2,female,NSD,3.64,9.5385,23.2023,33.0557
Main,F2,female,NSD,3.59,10.3976,20.9385,27.1645
Main,F2,female,NSD,3.38,12.7258,12.6716,20.9093
Main,F2,female,NSD,3.51,8.115,18.0161,18.2877
Main,F2,female,NSD,3.29,11.455,22.4593,19.9977
Main,F2,female,NSD,3.29,7.4979,19.9919,11.2949
Main,F2,female,NSD,3.39,10.4872,30.6118,33.6554
Main,F2,female,NSD,3.24,11.1245,36.3756,39.36
Main,F2,female,NSD,3.55,10.9704,37.8251,21.1357
Main,F2,female,NSD,3.57,7.6785,34.2121,13.4253
Main,F2,female,NSD,3.6,12.4404,18.5087,26.9995
Main,F2,female,NSD,3.69,11.3798,31.811,43.9289
Main,F2,female,NSD,3.39,7.5269,35.3769,36.1783
Main,F2,female,NSD,3.32,4.0461,19.9529,25.1753
Main,F2,female,NSD,3.64,3.0415,17.8584,20.6859
Main,F2,female,NSD,3.37,4.4328,26.421,19.2497
Main,F2,female,NSD,3.4,4.4607,19.3047,26.8248
Main,F2,female,NSD,3.61,6.1474,25.4357,29.7947
Main,F2,female,NSD,3.65,5.4737,15.5939,19.1284
Main,F2,female,NSD,3.56,7.7878,33.8744,33.7711
Main,F2,female,NSD,3.66,6.9924,19.9209,18.9094
Main,F2,female,NSD,3.47,8.6509,26.0752,31.344
Main,F2,female,NSD,3.6,3.607,24.7896,34.9142
Main,F2,male,LSD,2.42,7.1634,15.0889,18.5675
Main,F2,male,LSD,2.53,5.199,5.2383,10.8914
Main,F2,male,LSD,2.35,5.0604,12.222,10.3416
Main,F2,male,LSD,2.33,6.5182,19.4645,22.2698
Main,F2,male,LSD,2.14,7.2232,13.9174,9.8356
Main,F2,male,LSD,2.47,6.3486,17.9859,12.1042
Main,F2,male,LSD,2.42,7.011,16.1162,11.7385
Main,F2,male,LSD,2.34,7.5385,19.2794,11.9179
Main,F2,male,LSD,2.37,6.5732,14.2947,14.8798
Main,F2,male,LSD,2.45,6.4985,18.9878,6.5928
Main,F2,male,LSD,2.46,4.5577,10.3266,9.8168
Main,F2,male,LSD,2.55,7.0149,12.7604,6.7282
Main,F2,male,LSD,2.56,6.5339,12.2061,5.9928
Main,F2,male,LSD,2.38,9.8021,12.2261,10.593
Main,F2,male,LSD,2.44,7.9906,12.0133,5.5478
Main,F2,male,LSD,2.47,9.583,15.2621,8.5821
Main,F2,male,LSD,2.51,7.0801,17.7376,10.3762
Main,F2,male,LSD,2.34,9.5461,15.694,6.5553
Main,F2,male,LSD,2.74,9.3017,16.667,13.1688
Main,F2,male,LSD,2.58,8.7604,12.1053,9.0732
Main,F2,male,LSD,2.32,10.6796,13.9333,3.8957
Main,F2,male,LSD,2.38,10.0089,4.9752,4.5058
Main,F2,male,LSD,2.38,5.2101,20.7958,18.1354
Main,F2,male,LSD,2.45,3.6834,21.6111,23.907
Main,F2,male,LSD,2.41,7.6564,21.6132,19.864
Main,F2,male,LSD,2.58,8.6852,21.309,25.6576
Main,F2,male,LSD,2.3,6.611,23.3703,22.386
Main,F2,male,LSD,2.61,4.8163,22.4653,23.6848
Main,F2,male,LSD,2.4,6.7099,20.8785,18.5816
Main,F2,male,LSD,2.52,7.7658,20.1402,22.5986
Main,F2,male,LSD,2.57,8.9645,26.7122,24.4987
Main,F2,male,LSD,2.95,6.2357,20.1621,20.2328
Main,F2,male,LSD,2.53,3.8669,19.6661,23.273
Main,F2,female,LSD,3.56,6.5968,20.3806,20.632
Main,F2,female,LSD,3.62,8.5159,23.4955,16.6954
Main,F2,female,LSD,3.65,7.9393,15.6844,20.0949
Main,F2,female,LSD,3.27,7.8205,20.9004,35.8358
Main,F2,female,LSD,3.33,10.3144,24.0014,26.4373
Main,F2,female,LSD,3.44,9.3586,10.5383,16.777
Main,F2,female,LSD,3.4,11.1381,25.9205,18.6748
Main,F2,female,LSD,3.41,9.2677,24.3512,12.2895
Main,F2,female,LSD,3.12,9.6691,19.334,13.7962
Main,F2,female,LSD,3.81,8.9116,30.031,13.6224
