Study,Generation,Sex,Treatment,Sugar Weight,Glucose,Trehalose,Glycogen
Pilot,F1,male,HSD,2.53,5.847680542,53.55595525,61.60628589
Pilot,F1,male,HSD,2.56,6.163719641,38.04790575,128.5153826
Pilot,F1,male,HSD,2.58,6.579207036,44.21124882,42.87018847
Pilot,F1,female,NSD,3.8,18.30516783,17.94334721,130.6041505
Pilot,F1,female,NSD,3.91,9.24848821,17.95097669,142.9582407
Pilot,F1,female,NSD,4.05,10.80947605,24.70685096,105.7583564
Pilot,F1,female,NSD,3.43,9.784429467,14.19394703,74.61613215
Pilot,F1,female,NSD,3.43,7.182572197,25.49589028,72.94083712
Pilot,F1,female,NSD,3.39,13.94846114,17.12686861,71.03858258
Pilot,F1,female,NSD,3.68,13.96209085,21.96811197,65.54923209
Pilot,F1,female,NSD,3.93,9.169130486,25.64461962,80.54333969
Pilot,F1,female,LSD,3.43,8.13986328,15.50798605,78.66065376
Pilot,F1,female,LSD,3.4,6.257922962,7.757444345,51.80494299
Pilot,F1,female,LSD,3.55,6.91387334,17.68672762,67.55293188
Pilot,F1,female,LSD,3.4,10.21350346,13.91573817,118.8393516
Pilot,F1,female,LSD,3.28,13.20595279,17.04156757,61.86037767
Pilot,F1,female,LSD,3.94,12.61515734,26.24892982,133.9539983
Pilot,F1,female,LSD,3.74,13.18591744,6.851543177,78.85018345
Pilot,F1,female,LSD,3.79,13.10215309,5.329066728,111.0209761
Pilot,F1,female,CD,3.56,13.01028752,13.6083906,95.84433895
Pilot,F1,female,CD,3.58,13.04433652,33.6926199,73.90489096
Pilot,F1,female,CD,3.54,11.00513717,24.87221896,87.37090128
Pilot,F1,female,CD,3.45,4.711049201,25.13604223,77.56661687
Pilot,F1,female,CD,3.89,13.11000396,35.32251013,104.0820784
Pilot,F1,female,CD,3.71,10.79403771,30.33380463,111.7133094
Pilot,F1,female,CD,3.42,6.10372375,41.85713644,69.354638
Pilot,F1,female,CD,4.02,12.56910648,33.6708163,164.5046812
Pilot,F1,female,HSD,3.81,2.898562841,25.05971461,237.8840752
Pilot,F1,female,HSD,3.44,6.492484909,20.3331625,93.49441218
Pilot,F1,female,HSD,3.65,7.074721813,12.38359563,68.76285215
Pilot,F1,female,HSD,3.57,8.891540604,26.77572854,85.12403451
Pilot,F1,female,HSD,3.79,9.882101638,38.38838434,94.0158546
Pilot,F1,female,HSD,3.68,10.94011798,29.7706512,118.0054324
Pilot,F1,female,HSD,3.12,8.308723523,44.82759199,67.50198449
Pilot,F1,female,HSD,3.4,9.444285263,21.56684707,116.3882667
Pilot,F2,male,NSD,2.51,22.12329281,12.75342847,43.39499005
Pilot,F2,male,NSD,2.64,15.7112372,10.38417267,36.86711336
Pilot,F2,male,NSD,2.56,7.997045018,21.07083549,42.32833269
Pilot,F2,male,NSD,2.58,8.827164992,19.01286112,20.55140036
Pilot,F2,male,NSD,2.52,10.06463319,16.88612786,25.34057742
Pilot,F2,male,NSD,2.54,13.04655429,13.57562362,32.43185898
Pilot,F2,male,NSD,2.66,11.99055522,23.43903861,32.02426173
Pilot,F2,male,NSD,2.33,10.20113799,15.0709406,33.45170415
Pilot,F2,male,LSD,2.62,8.010341093,21.69651173,68.5486735
Pilot,F2,male,LSD,2.4,8.04285955,13.75228604,52.82164372
Pilot,F2,male,LSD,2.52,10.99757825,13.54092711,69.55032906
Pilot,F2,male,LSD,2.48,11.06100243,15.9868658,55.93482727
Pilot,F2,male,LSD,2.48,12.25740847,11.28012421,58.19625907
Pilot,F2,male,LSD,2.59,14.84744918,16.5212556,59.90725801
Pilot,F2,male,LSD,2.58,13.60807952,23.09057279,54.15429493
Pilot,F2,male,LSD,2.39,15.90096592,24.53319638,78.89118034
Pilot,F2,male,CD,2.63,9.665659079,9.335829188,73.62537697
Pilot,F2,male,CD,2.73,11.44024203,14.41586735,71.41591561
Pilot,F2,male,CD,2.65,15.94320691,13.80360126,60.91782176
