Generation,Sex,Treatment,Sugar Weight,Glucose,Trehalose,Glycogen
F0,male,NSD,1.81,0,1.587144186,7.7550375
F0,male,NSD,2.44,1.820114286,0,4.293605357
F0,male,NSD,2.25,0,7.026738739,6.371485714
F0,male,NSD,2.25,0,2.021806452,5.231614108
F0,male,NSD,2.11,0.579428274,0.129107512,11.21109726
F0,male,NSD,2.19,1.069656716,2.831428223,5.392997747
F0,male,NSD,2.27,3.632814664,3.956794595,3.842108783
F0,male,NSD,1.99,0,0.221581818,1.227791411
F0,male,LSD,2.47,12.23301449,2.058167141,54.36761413
F0,male,LSD,2.33,7.558101695,13.96479714,54.47648061
F0,male,LSD,2.18,6.116507246,13.59046089,26.9163217
F0,male,LSD,2.47,8.813258727,0,61.92453957
F0,male,LSD,2.23,6.257825364,12.90232916,44.68700034
F0,male,LSD,2.18,7.946057447,10.60432678,27.24543961
F0,male,LSD,2.36,9.568315369,21.54562529,46.50766865
F0,male,LSD,2.3,7.15210387,14.8433882,25.32992761
F0,male,CD,2.31,8.739055085,3.388281085,39.53060285
F0,male,CD,2.33,7.946057447,9.123910297,49.60403019
F0,male,CD,2.52,7.64191129,13.15365494,51.80784677
F0,male,CD,2.58,7.684458848,12.27232398,38.32232605
F0,male,CD,2.72,8.214463158,19.29129111,31.63487558
F0,male,CD,2.49,9.407763713,14.01571333,48.15104212
F0,male,CD,2.87,8.727713987,16.48573072,59.48617413
F0,male,CD,2.25,6.657325911,14.75804955,29.3694793
F0,male,HSD,2.43,5.53836859,7.200072247,71.92632381
F0,male,HSD,2.6,7.069875262,11.98473498,57.71431229
F0,male,HSD,2.56,8.186959375,11.87189092,106.679477
F0,male,HSD,2.51,7.872697938,11.82972262,75.99662652
F0,male,HSD,2.45,7.288310669,10.75682904,68.39924234
F0,male,HSD,2.32,8.104601464,15.63078613,48.13022554
F0,male,HSD,2.56,14.90747674,11.84336312,78.86301563
F0,male,HSD,2.65,4.948435714,5.883101158,54.83005351
F0,female,NSD,3.09,0,2.047355835,22.55367442
F0,female,NSD,2.92,2.513104209,0,10.99897455
F0,female,NSD,3.06,0,0.703376179,17.10242324
F0,female,NSD,2.42,0,0,4.84904
F0,female,NSD,3.14,0,0,16.28035124
F0,female,NSD,3.22,0,8.541236277,18.90218295
F0,female,NSD,2.41,0,1.963664198,4.603518987
F0,female,NSD,2.66,0,1.637349412,10.94944516
F0,female,LSD,3.6,27.36297319,10.78151014,70.65114833
F0,female,LSD,3.48,15.97516793,9.393926935,96.95505457
F0,female,LSD,3.73,9.787658443,10.98357145,65.02826806
F0,female,LSD,3.37,5.774095213,12.27419449,41.86252251
F0,female,LSD,3.77,8.611858471,18.92474437,50.71104711
F0,female,LSD,3.84,9.59505,15.29779442,65.35486979
F0,female,LSD,3.33,12.91014504,20.4791349,67.06961176
F0,female,LSD,2.98,3.871993243,4.265964792,41.23328822
F0,female,CD,3.59,8.850457447,7.882384471,80.72903265
F0,female,CD,3.61,9.695452331,10.12028329,35.29952278
F0,female,CD,3.35,9.943151437,18.99273395,62.85703151
F0,female,CD,3.7,11.37108247,17.25650065,25.46594766
F0,female,CD,3.7,15.04312553,20.22044725,51.83809312
F0,female,CD,3.79,14.89943,27.19540637,61.19928077
F0,female,CD,3.51,10.17781081,19.82354219,51.31174936
F0,female,CD,3.78,12.15341512,25.65279653,66.13526938
F0,female,HSD,3.52,13.24547348,19.40032852,303.4177127
F0,female,HSD,3.4,13.04777985,16.24713088,91.62326897
F0,female,HSD,3.45,12.68036596,20.49106776,106.2872511
F0,female,HSD,3.33,10.04004717,22.75215962,71.7629028
F0,female,HSD,3.04,10.25914142,34.72698821,125.6539045
F0,female,HSD,3.55,12.47507106,38.83074143,93.40889834
