Study,Generation,Treatment,Sex,Sugar.Weight,Glucose,Trehalose,Glycogen
Main,F0,HSD,female,NA,NA,NA,NA
Main,F0,HSD,female,NA,NA,NA,NA
Main,F0,HSD,female,NA,NA,NA,NA
Main,F0,HSD,female,NA,NA,NA,NA
Main,F0,HSD,female,NA,NA,NA,NA
Main,F0,HSD,female,NA,NA,NA,NA
Main,F0,HSD,female,NA,NA,NA,NA
Main,F0,HSD,female,NA,NA,NA,NA
Main,F0,HSD,female,NA,NA,NA,NA
Main,F0,HSD,female,NA,NA,NA,NA
Main,F0,HSD,female,NA,NA,NA,NA
Main,F0,CD,male,2.64,9.206460949,6.673863934,12.4501169
Main,F0,CD,male,2.41,12.28336791,20.11164135,15.02488237
Main,F0,CD,male,2.53,8.433211739,1.224646291,10.15092375
Main,F0,CD,male,2.57,10.82543659,21.41634612,12.49638116
Main,F0,CD,male,2.46,12.27317619,14.84430623,8.419626328
Main,F0,CD,male,2.51,14.1364231,2.367726219,6.200966172
Main,F0,CD,male,2.57,9.395482697,3.376187403,5.10939237
Main,F0,CD,male,2.46,8.665789137,15.70782789,20.19383522
Main,F0,CD,male,2.5,12.56554751,13.89148452,7.500522899
Main,F0,CD,male,2.54,10.949444,24.6415246,4.835188476
Main,F0,CD,male,2.49,8.473535358,5.282565299,9.425922734
Main,F0,CD,female,3.59,11.52331538,3.385247582,15.17173356
Main,F0,CD,female,3.66,9.808081808,10.40766722,25.7157785
Main,F0,CD,female,3.27,14.33497505,18.36360935,18.8935119
Main,F0,CD,female,3.39,14.34905623,17.89862371,31.9963183
Main,F0,CD,female,3.53,14.5218592,9.236452367,12.30006837
Main,F0,CD,female,3.72,15.73473637,9.659353321,27.72114944
Main,F0,CD,female,3.55,13.35028208,11.32683561,17.79552356
Main,F0,CD,female,3.4,12.2091536,12.86411125,28.38611084
Main,F0,CD,female,3.23,9.851665343,24.90631453,16.09229911
Main,F0,CD,female,3.82,15.5919065,17.11099334,50.48429574
Main,F0,CD,female,3.68,24.41878635,10.50090283,26.36505828
Main,F0,CD,female,NA,NA,NA,NA
Main,F0,CD,female,NA,NA,NA,NA
Main,F0,CD,female,NA,NA,NA,NA
Main,F0,CD,female,NA,NA,NA,NA
Main,F0,CD,female,NA,NA,NA,NA
Main,F0,CD,female,NA,NA,NA,NA
Main,F0,CD,female,NA,NA,NA,NA
Main,F0,CD,female,NA,NA,NA,NA
Main,F0,CD,female,NA,NA,NA,NA
Main,F0,CD,female,NA,NA,NA,NA
Main,F0,CD,female,NA,NA,NA,NA
Main,F0,CD,female,NA,NA,NA,NA
Main,F0,CD,female,NA,NA,NA,NA
Main,F0,CD,female,NA,NA,NA,NA
Main,F0,CD,female,NA,NA,NA,NA
Main,F0,CD,female,NA,NA,NA,NA
Main,F0,CD,female,NA,NA,NA,NA
Main,F0,CD,female,NA,NA,NA,NA
Main,F0,CD,female,NA,NA,NA,NA
Main,F1,NSD,male,2.64,8.889663367,6.977262557,16.90131068
Main,F1,NSD,male,2.4,6.37769738,9.031013376,22.23074043
Main,F1,NSD,male,2.7,11.61912605,7.047130759,15.00707279
Main,F1,NSD,male,2.79,10.67144384,10.06550259,10.31056135
Main,F1,NSD,male,2.59,10.75842492,7.363134564,19.410767
Main,F1,NSD,male,2.49,10.40625157,9.839314396,7.421581978
Main,F1,NSD,male,2.68,7.852081087,5.339090724,14.24209984
Main,F1,NSD,male,2.58,14.19850324,5.316837571,5.43248542
Main,F1,NSD,male,2.48,9.439344994,8.282900359,7.68108988
Main,F1,NSD,male,2.42,11.04342824,9.362203082,4.635900481
