Study,Generation,Treatment,Sex,Sugar.Weight,Glucose,Trehalose,Glycogen
Main,F2,NSD,male,2.42,5.954903516,13.19317379,11.15182029
Main,F2,NSD,male,2.49,6.09739893,12.50227025,14.80180516
Main,F2,NSD,male,2.49,7.213588756,8.891890348,13.83991441
Main,F2,NSD,male,2.37,6.030330553,14.2920969,14.39293944
Main,F2,NSD,male,2.45,8.463049209,17.69464376,14.85872113
Main,F2,NSD,male,2.51,7.825691397,17.67738391,23.40299969
Main,F2,NSD,male,2.53,5.860888631,13.3752955,14.4073768
Main,F2,NSD,male,2.44,7.459675832,11.48742295,7.039236265
Main,F2,NSD,male,2.53,10.46166736,14.75844487,10.55342795
Main,F2,NSD,male,2.41,8.542228024,17.78506624,10.76852034
Main,F2,NSD,male,2.46,9.925695662,13.90370711,6.58788412
Main,F2,NSD,male,2.48,10.8895703,17.90749601,10.49767694
Main,F2,NSD,male,2.44,10.24835299,11.88400985,7.292418945
Main,F2,NSD,male,2.61,6.508253195,11.00499688,10.52831749
Main,F2,NSD,male,2.43,6.634626507,11.74504604,9.157650765
Main,F2,NSD,male,2.46,6.474595886,11.67283823,7.979546937
Main,F2,NSD,male,2.2,8.418858389,13.97590088,8.04978579
Main,F2,NSD,male,2.24,6.918852112,19.31336606,9.771592328
Main,F2,NSD,male,2.37,9.860348163,18.84411459,12.91368988
Main,F2,NSD,male,2.4,5.523593896,5.895493006,11.53935018
Main,F2,NSD,male,2.45,7.676032634,6.173517928,15.37512072
Main,F2,NSD,male,2.2,9.661730203,13.01038286,19.27940197
Main,F2,NSD,male,2.46,9.27775108,9.99793868,16.10850407
Main,F2,NSD,male,2.37,9.85638635,7.488906227,14.57249863
Main,F2,NSD,male,2.42,4.597373118,10.54508994,14.17342823
Main,F2,NSD,male,2.44,7.718582458,10.65360044,22.35911783
Main,F2,NSD,male,2.4,5.723831274,9.259680738,19.20664875
Main,F2,NSD,male,2.49,6.639070163,10.66492248,19.40260061
Main,F2,NSD,male,2.6,5.432421251,11.37358969,18.42197862
Main,F2,NSD,female,3.67,7.320327591,12.54435551,16.10140502
Main,F2,NSD,female,3.23,6.217123526,19.99829541,32.0084173
Main,F2,NSD,female,3.27,9.506241645,16.99285156,24.59533715
Main,F2,NSD,female,3.33,9.447469811,18.50228717,36.53440263
Main,F2,NSD,female,3.45,8.328203829,19.39977514,29.26462951
Main,F2,NSD,female,3.72,6.729881891,18.62161828,22.95106526
Main,F2,NSD,female,3.92,7.946307601,21.7194386,18.01591284
Main,F2,NSD,female,3.43,7.923281046,21.33377562,42.20466464
Main,F2,NSD,female,3.6,7.892140983,12.06141776,17.66737572
Main,F2,NSD,female,3.64,7.257220284,17.93258947,21.64768362
Main,F2,NSD,female,3.64,9.636026473,23.36860352,32.70011899
Main,F2,NSD,female,3.59,10.87555054,21.58025004,25.82574158
Main,F2,NSD,female,3.38,13.07433575,13.75313021,18.70635106
Main,F2,NSD,female,3.51,8.719687519,18.22665785,18.03084686
Main,F2,NSD,female,3.29,11.87421215,23.30081754,18.33402968
Main,F2,NSD,female,3.29,8.136899064,20.0859272,11.40230705
Main,F2,NSD,female,3.39,10.96016616,31.27049465,32.17820111
Main,F2,NSD,female,3.24,11.5620125,37.15471452,37.53040193
Main,F2,NSD,female,3.55,11.41648152,38.57503253,19.65445663
Main,F2,NSD,female,3.57,8.307448027,34.34025772,13.42476208
Main,F2,NSD,female,3.6,12.80480731,19.53634075,24.81930332
Main,F2,NSD,female,3.69,11.80316415,32.63833829,41.9223529
Main,F2,NSD,female,3.39,8.982948634,26.03503254,32.52825223
Main,F2,NSD,female,3.32,5.792238065,10.48148558,18.36850001
Main,F2,NSD,female,3.64,4.871410203,8.540776772,12.41326452
Main,F2,NSD,female,3.37,6.146742744,17.34949383,9.775473174
Main,F2,NSD,female,3.4,6.172301587,9.647231255,20.5370285
Main,F2,NSD,female,3.61,7.718479737,15.73211638,24.03934542
Main,F2,NSD,female,3.65,7.100922795,5.309274608,9.157718714
Main,F2,NSD,female,3.56,9.22218032,24.32666914,28.99297002
Main,F2,NSD,female,3.66,8.493013653,9.498041062,8.196652619
Main,F2,NSD,female,3.47,10.01334995,15.61712746,25.17190304
Main,F2,NSD,female,3.6,5.389767425,15.85177633,32.40725722
Main,F2,LSD,male,2.42,7.260958353,14.52762943,18.92921245
Main,F2,LSD,male,2.53,5.296540776,3.982872182,11.7601891
Main,F2,LSD,male,2.35,5.157922064,11.14343732,11.24637242
Main,F2,LSD,male,2.33,6.615793502,18.89906183,22.67357776
Main,F2,LSD,male,2.14,7.320737922,13.33393053,10.36117773
Main,F2,LSD,male,2.47,6.446186696,17.34202221,12.74185125
Main,F2,LSD,male,2.42,7.108589136,15.55373576,12.26413934
Main,F2,LSD,male,2.34,7.636049646,18.91856377,12.34501311
Main,F2,LSD,male,2.37,6.670791558,13.58855782,15.42145424
Main,F2,LSD,male,2.45,6.59609584,18.40425348,7.313604688
Main,F2,LSD,male,2.46,4.655271793,9.088740204,10.82248619
Main,F2,LSD,male,2.55,7.680749301,12.76322575,7.10650725
Main,F2,LSD,male,2.56,7.226485239,12.11807307,6.581312154
Main,F2,LSD,male,2.38,10.31306482,12.75541427,9.759239722
Main,F2,LSD,male,2.44,8.602213859,12.20041968,5.541383972
Main,F2,LSD,male,2.47,10.10619131,15.75000906,7.870328672
Main,F2,LSD,male,2.51,7.742302254,17.75268047,10.67061114
Main,F2,LSD,male,2.34,10.07132337,16.174938,5.890393981
Main,F2,LSD,male,2.74,9.840474727,17.10172963,12.50154987
Main,F2,LSD,male,2.58,9.329246927,12.43784004,8.693606494
Main,F2,LSD,male,2.32,11.1418525,14.62834012,2.803976068
Main,F2,LSD,male,2.38,10.50840766,5.543515094,3.681693153
Main,F2,LSD,male,2.38,6.859232122,11.01789492,7.858235044
Main,F2,LSD,male,2.45,5.459810528,12.39102639,16.71984533
Main,F2,LSD,male,2.41,9.101661019,11.1136725,9.270310274
Main,F2,LSD,male,2.58,10.04480873,10.45343486,17.06995111
Main,F2,LSD,male,2.3,8.143418101,13.34992267,13.30432461
Main,F2,LSD,male,2.61,6.498240507,12.94962888,15.91916515
Main,F2,LSD,male,2.4,8.234058454,10.6242905,7.851341149
Main,F2,LSD,male,2.52,9.201987223,9.485956246,13.112615
Main,F2,LSD,male,2.57,10.3008193,16.20474134,15.30223171
Main,F2,LSD,male,2.95,7.799406643,10.00242778,10.40243017
Main,F2,LSD,male,2.53,5.628001585,10.22918233,15.73967551
Main,F2,LSD,female,3.56,6.694328972,19.85825032,21.05434302
Main,F2,LSD,female,3.62,8.613461872,23.45989609,16.85106268
Main,F2,LSD,female,3.65,8.03690032,15.30031445,20.28639943
Main,F2,LSD,female,3.27,7.918058976,20.64531145,35.73382324
Main,F2,LSD,female,3.33,10.41193979,24.3509618,26.07438612
Main,F2,LSD,female,3.44,9.456187931,10.29510707,16.77929721
Main,F2,LSD,female,3.4,11.23563563,26.49604186,18.31892526
Main,F2,LSD,female,3.41,9.365275802,24.49557011,12.39800453
Main,F2,LSD,female,3.12,9.766679734,19.41344483,13.80222524
Main,F2,LSD,female,3.81,9.00920249,30.2691041,13.76826972
Main,F2,LSD,female,3.29,10.77149706,32.5992419,22.60240709
Main,F2,LSD,female,3.49,5.092034943,10.30499803,10.24354812
Main,F2,LSD,female,3.57,11.76887492,23.73320311,16.62810765
Main,F2,LSD,female,3.39,8.464896238,14.6678712,8.541397459
Main,F2,LSD,female,3.5,8.219169165,17.63422585,10.85084829
Main,F2,LSD,female,3.69,14.09537624,31.66799792,17.66976536
Main,F2,LSD,female,3.6,8.476031826,20.19871864,12.6113865
Main,F2,LSD,female,3.5,8.771519131,18.03981738,10.09715657
Main,F2,LSD,female,3.61,6.239372042,10.58551469,9.805305307
Main,F2,LSD,female,3.36,8.537171574,17.6700077,11.86187876
Main,F2,LSD,female,3.6,7.858648605,13.70252419,5.750805122
Main,F2,LSD,female,3.4,6.266147987,10.06338997,7.313367545
Main,F2,LSD,female,3.45,8.779874498,13.0916965,14.91089388
Main,F2,LSD,female,3.64,11.87712824,23.21007243,32.37980659
Main,F2,LSD,female,3.45,9.407178949,15.19150289,17.03271501
Main,F2,LSD,female,3.44,3.898149786,15.58222024,17.94478124
Main,F2,LSD,female,3.59,6.452370052,5.707307438,6.473634991
Main,F2,LSD,female,3.5,4.988918978,7.449875639,14.23216995
Main,F2,LSD,female,3.42,9.199167412,16.52191489,20.39430763
Main,F2,LSD,female,3.47,10.37256545,19.2012987,21.7738054
Main,F2,LSD,female,3.49,10.5341219,19.11510202,29.13330698
Main,F2,LSD,female,3.13,11.25553054,23.57709865,33.85487663
Main,F2,LSD,female,3.22,13.92678748,22.62039413,38.14460572
Main,F2,HSD,male,2.56,7.255793771,14.18095551,15.54330627
Main,F2,HSD,male,2.49,7.994888539,11.52882337,11.90172222
Main,F2,HSD,male,2.45,7.243771115,18.995902,14.60921507
Main,F2,HSD,male,2.46,7.127135016,12.16312445,13.21323906
Main,F2,HSD,male,2.45,5.446165128,10.71002302,5.763510475
Main,F2,HSD,male,2.52,7.605849537,13.54973069,13.88564754
Main,F2,HSD,male,2.42,9.205480692,19.99397468,19.99833748
Main,F2,HSD,male,2.58,8.41670079,16.28445683,12.92067134
Main,F2,HSD,male,2.39,7.270311527,11.52364023,13.36569772
Main,F2,HSD,male,2.48,7.554103152,14.4474593,10.69174559
Main,F2,HSD,male,2.53,9.12549584,16.2178746,12.65764869
Main,F2,HSD,male,2.58,7.409661142,17.61324088,11.89263063
Main,F2,HSD,male,2.5,9.156832893,14.03776049,12.44780939
Main,F2,HSD,male,2.53,8.860200113,15.78163897,7.153998878
Main,F2,HSD,male,2.58,10.95680094,19.60808235,12.44687179
Main,F2,HSD,male,2.58,9.99169141,13.83819709,17.25019126
Main,F2,HSD,male,2.55,8.965262592,15.00707961,4.829185119
Main,F2,HSD,male,2.46,8.957901176,15.37998232,12.80021845
Main,F2,HSD,male,2.44,8.110286032,11.76001672,6.442460675
Main,F2,HSD,male,2.49,10.65575523,10.8827937,6.136768382
Main,F2,HSD,male,2.5,7.511500612,8.310186221,3.56729927
Main,F2,HSD,male,2.41,9.235387612,13.12771207,9.796166084
Main,F2,HSD,male,2.34,5.609982153,13.16057496,9.114661271
Main,F2,HSD,male,2.42,8.948788744,8.760594832,13.92745174
Main,F2,HSD,male,2.55,6.005405514,9.183251049,10.9254876
Main,F2,HSD,male,2.45,7.868801756,9.893945909,10.37799155
Main,F2,HSD,male,2.42,5.235674234,11.33893156,18.05539364
Main,F2,HSD,male,2.55,6.025565737,12.22551676,23.80647457
Main,F2,HSD,male,2.48,7.09906262,14.53220914,21.28306735
Main,F2,HSD,male,2.44,8.390322132,9.891609073,5.501778532
Main,F2,HSD,male,2.44,9.676049173,14.72302583,20.51373101
Main,F2,HSD,male,2.55,9.913046344,13.63667338,20.00491832
Main,F2,HSD,male,2.37,8.477059632,5.690315755,7.164197915
Main,F2,HSD,female,3.77,11.63901513,16.25433831,17.88444355
Main,F2,HSD,female,3.4,9.058780281,15.97603842,23.83988071
Main,F2,HSD,female,3.47,10.54672574,20.08774367,38.9181921
Main,F2,HSD,female,3.47,12.48191021,19.3648761,25.94036
Main,F2,HSD,female,3.55,7.811944342,15.17130338,26.50736315
Main,F2,HSD,female,3.4,6.778062461,17.27914965,13.15995238
Main,F2,HSD,female,3.44,13.15740914,19.45652409,36.24565932
Main,F2,HSD,female,3.13,11.66250261,30.38378146,44.42460718
Main,F2,HSD,female,3.29,10.64923827,27.06453664,18.62408226
Main,F2,HSD,female,3.61,11.54608937,22.02207784,24.6454997
Main,F2,HSD,female,3.53,9.469961357,16.54196437,16.86559701
Main,F2,HSD,female,3.77,14.92411233,10.62558441,8.202498488
Main,F2,HSD,female,3.55,13.79018295,19.34062126,17.28296701
Main,F2,HSD,female,3.42,9.481464017,15.35114572,13.14463657
Main,F2,HSD,female,3.34,7.914440171,9.351881547,8.820434494
Main,F2,HSD,female,3.21,12.04667887,24.75273837,12.28969816
Main,F2,HSD,female,3.61,14.44065175,34.92939328,34.36038458
Main,F2,HSD,female,3.44,11.9098851,29.43997995,37.36109667
Main,F2,HSD,female,3.65,10.31297853,19.13831152,17.44832977
Main,F2,HSD,female,3.92,12.79228774,25.49621606,18.30077988
Main,F2,HSD,female,3.61,13.67699005,28.61348614,24.19771458
Main,F2,HSD,female,3.35,13.30211145,27.25052028,32.78622811
Main,F2,HSD,female,3.37,10.71481678,30.82541726,40.87458075
Main,F2,HSD,female,3.38,17.04013023,14.72833629,27.56251264
Main,F2,HSD,female,3.72,12.62899981,16.11489132,21.74395845
Main,F2,HSD,female,3.58,9.01091933,9.249291222,11.85133716
Main,F2,HSD,female,3.65,8.752488095,14.33548824,22.77414336
Main,F2,HSD,female,3.7,12.58903758,22.43364273,37.7710211
Main,F2,HSD,female,3.71,10.84577776,17.65960757,27.68738797
Main,F2,HSD,female,3.63,15.4559014,23.18881608,24.24364547
Main,F2,HSD,female,3.35,8.305704499,12.35810186,22.88253906
Main,F2,HSD,female,3.62,8.417161963,7.900322114,14.71265764
Main,F2,HSD,female,3.59,16.6264772,2.165452919,11.69853264
Main,F2,CD,male,2.64,7.005100414,13.78091893,11.83665522
Main,F2,CD,male,2.41,7.911649978,12.07777947,15.283667
Main,F2,CD,male,2.53,7.644562529,16.61156081,21.62624707
Main,F2,CD,male,2.57,6.232569873,19.88741265,11.53161187
Main,F2,CD,male,2.46,6.103379089,15.11180336,14.96918164
Main,F2,CD,male,2.51,8.746937689,15.27112368,16.31517724
Main,F2,CD,male,2.57,8.686623406,13.43656939,13.72898106
Main,F2,CD,male,2.46,6.697688785,22.17253543,13.02739809
Main,F2,CD,male,2.5,6.361547017,12.90950801,14.34890243
Main,F2,CD,male,2.54,6.929546762,15.63703924,12.57485753
Main,F2,CD,male,2.49,6.809185245,10.0972897,8.633563987
Main,F2,CD,male,2.45,9.399037235,17.86136667,6.3078847
Main,F2,CD,male,2.52,7.510150272,9.689904135,1.322807678
Main,F2,CD,male,2.41,6.752942419,12.96208639,11.7464874
Main,F2,CD,male,2.44,6.426036134,18.51197847,16.07357133
Main,F2,CD,male,2.57,9.226019682,12.55617901,9.155179207
Main,F2,CD,male,2.37,9.479016868,11.37772482,7.208588083
Main,F2,CD,male,2.42,9.025628583,17.75413235,15.53941314
Main,F2,CD,male,2.41,9.68946636,15.65160766,17.00115435
Main,F2,CD,male,2.51,6.136404747,12.73768888,4.680942681
Main,F2,CD,male,2.58,9.589304627,16.00874443,10.57889627
Main,F2,CD,male,2.5,10.85511679,11.33471923,12.50914848
Main,F2,CD,male,2.37,8.750392126,13.49396376,15.26809588
Main,F2,CD,male,2.49,8.554717936,10.17071514,14.88139483
Main,F2,CD,male,2.45,5.868275567,8.583529172,13.82656964
Main,F2,CD,male,2.51,7.272098808,11.94385808,16.84128354
Main,F2,CD,male,2.39,8.637695144,10.69110799,14.2236474
Main,F2,CD,male,2.34,11.91156491,12.08950291,9.665232219
Main,F2,CD,male,2.52,4.797608147,10.46721415,11.14964677
Main,F2,CD,male,2.51,7.897971205,12.29478601,6.275228474
Main,F2,CD,male,2.51,5.06996848,10.58015172,6.940575996
Main,F2,CD,male,2.55,9.716563706,11.38653818,7.845056039
Main,F2,CD,male,2.53,9.085895598,9.793958922,9.826142794
Main,F2,CD,female,3.59,5.708153571,19.97960948,19.58785883
Main,F2,CD,female,3.66,11.90470705,25.21190303,41.77948278
Main,F2,CD,female,3.27,8.306404662,18.22758883,21.95014848
Main,F2,CD,female,3.39,10.28959004,23.30879939,15.17932888
Main,F2,CD,female,3.53,9.434332043,16.2074346,17.65843284
Main,F2,CD,female,3.72,7.516417554,13.20936319,18.10209651
Main,F2,CD,female,3.55,12.89511274,19.93773513,31.66043261
Main,F2,CD,female,3.4,8.517708515,17.77849095,32.57248662
Main,F2,CD,female,3.23,9.508518788,16.60525609,21.73999696
Main,F2,CD,female,3.82,6.986724962,9.329754164,35.64398656
Main,F2,CD,female,3.68,10.39592265,19.17217608,22.61460041
Main,F2,CD,female,3.34,11.04710031,18.05713537,19.85772664
Main,F2,CD,female,3.56,12.69801621,19.90449511,22.95220417
Main,F2,CD,female,3.51,9.463647041,12.30403247,27.8247567
Main,F2,CD,female,3.43,10.0204611,19.71697395,13.65191443
Main,F2,CD,female,3.46,13.04661321,21.62200418,10.71522578
Main,F2,CD,female,3.58,12.24854551,27.7804874,22.68501564
Main,F2,CD,female,3.25,9.986227014,18.39828393,15.33934367
Main,F2,CD,female,3.54,10.59688502,19.28025273,21.79994187
Main,F2,CD,female,3.34,14.0919627,25.23454941,26.41455948
Main,F2,CD,female,3.32,8.596129866,12.43915764,12.72520234
Main,F2,CD,female,3.37,12.90226183,17.67419563,18.94493329
Main,F2,CD,female,3.31,10.29314386,14.18997948,16.14388251
Main,F2,CD,female,3.55,10.11610322,8.472229688,16.54235335
Main,F2,CD,female,3.36,7.42507301,10.49724476,22.50518693
Main,F2,CD,female,3.58,11.82663253,17.34904975,19.89402555
Main,F2,CD,female,3.58,12.07999944,22.74016999,34.58333684
Main,F2,CD,female,3.48,10.77390316,19.60457844,32.71457242
Main,F2,CD,female,3.45,10.49497754,12.40346829,26.25786853
Main,F2,CD,female,3.59,9.508279043,11.42019062,11.53950759
Main,F2,CD,female,3.32,12.21808259,16.9465242,14.09047702
Main,F2,CD,female,3.49,12.86796233,16.54957061,22.0792217
Main,F2,CD,female,3.53,11.18186233,13.39765845,23.03733178
Main,F3,NSD,male,2.49,1.341989247,18.96963497,26.91240306
Main,F3,NSD,male,2.31,6.353935634,5.335280705,21.12880415
Main,F3,NSD,male,2.47,7.970082698,12.50345935,19.48725057
Main,F3,NSD,male,2.65,11.06902294,14.157691,24.72487842
Main,F3,NSD,male,2.42,7.403995175,13.88924798,24.81598235
Main,F3,NSD,male,2.49,1.863859565,15.40849968,24.08042232
Main,F3,NSD,male,2.49,7.227913709,10.20611683,16.05436194
Main,F3,NSD,male,2.37,6.730446045,8.588797877,12.67440226
Main,F3,NSD,male,2.45,8.358738999,10.33406115,15.79029392
Main,F3,NSD,male,2.51,8.959644889,9.494123256,19.74352357
Main,F3,NSD,male,2.53,7.229757085,11.83541045,19.6893211
Main,F3,NSD,male,2.44,9.010412641,11.00686671,11.88072475
Main,F3,NSD,male,2.53,6.648274109,6.715299368,11.60206602
Main,F3,NSD,male,2.41,7.114278164,6.559783225,14.06165182
Main,F3,NSD,male,2.46,9.788336541,8.001687612,11.42452163
Main,F3,NSD,male,2.48,7.964854476,11.25566203,14.96037325
Main,F3,NSD,male,2.44,6.913750567,8.884672191,11.72633575
Main,F3,NSD,male,2.61,9.573721442,7.662882438,16.41104103
Main,F3,NSD,male,2.43,5.61737934,8.875060605,7.69706884
Main,F3,NSD,male,2.46,7.943714513,7.744023137,3.561044109
Main,F3,NSD,male,2.2,9.13957527,8.414137048,7.901342774
Main,F3,NSD,male,2.24,6.902253839,11.38344196,13.65600419
Main,F3,NSD,male,2.37,7.34706323,7.684601299,16.24943025
Main,F3,NSD,male,2.4,4.279734887,6.408820039,22.39018052
Main,F3,NSD,male,2.45,8.54584032,3.182511605,16.26442607
Main,F3,NSD,male,2.2,8.032550479,6.958586062,20.52905532
Main,F3,NSD,male,2.46,7.015509596,2.905289237,23.3612606
Main,F3,NSD,male,2.37,6.195049125,3.934458014,15.26036061
Main,F3,NSD,male,2.42,5.537574792,4.410804129,16.25487413
Main,F3,NSD,male,2.44,7.060519061,11.59563973,28.1915652
Main,F3,NSD,male,2.4,8.660997173,9.027233487,17.09011725
Main,F3,NSD,male,2.49,8.325003571,10.29968617,18.29383587
Main,F3,NSD,male,2.6,7.006930152,6.52654359,17.98753166
Main,F3,NSD,female,3.67,6.843596568,16.89312091,14.84561294
Main,F3,NSD,female,3.23,5.329128648,19.30284981,10.81595775
Main,F3,NSD,female,3.27,11.38250308,6.985137202,14.79380674
Main,F3,NSD,female,3.33,10.50558492,12.9421059,14.94486144
Main,F3,NSD,female,3.45,5.645610498,15.71503387,14.30065674
Main,F3,NSD,female,3.72,10.04203876,9.935353649,10.73391399
Main,F3,NSD,female,3.92,8.45968174,12.51624402,16.1506518
Main,F3,NSD,female,3.43,8.144958763,3.575917951,17.20306176
Main,F3,NSD,female,3.6,10.53272481,15.46709696,15.39837267
Main,F3,NSD,female,3.64,4.865618549,12.99120322,19.73640442
Main,F3,NSD,female,3.64,9.30544273,10.0059588,10.42886164
Main,F3,NSD,female,3.59,11.38467497,18.59638971,24.63276467
Main,F3,NSD,female,3.38,9.870773958,16.07896528,22.54750195
Main,F3,NSD,female,3.51,5.037587193,10.40878708,19.27764237
Main,F3,NSD,female,3.29,8.933385184,13.17386533,14.04107681
Main,F3,NSD,female,3.29,9.418932789,28.48270967,13.12618956
Main,F3,NSD,female,3.39,8.55049305,19.96078633,20.34476473
Main,F3,NSD,female,3.24,10.2694887,15.84542456,16.06940219
Main,F3,NSD,female,3.55,8.732488957,13.18303939,17.58790667
Main,F3,NSD,female,3.57,11.39185863,11.2065738,23.35688443
Main,F3,NSD,female,3.6,11.75918989,15.01348828,17.15884037
Main,F3,NSD,female,3.69,9.862529323,18.18431522,16.2159108
Main,F3,NSD,female,3.39,9.812658519,23.54297968,20.437154
Main,F3,NSD,female,3.32,12.03761881,4.156930224,24.23130087
Main,F3,NSD,female,3.64,12.42046011,0,30.43763205
Main,F3,NSD,female,3.37,11.64582438,8.356517489,17.89062605
Main,F3,NSD,female,3.4,11.2346671,13.62185869,18.49878414
Main,F3,NSD,female,3.61,8.646190949,17.73208851,11.31126129
Main,F3,NSD,female,3.65,10.48474946,13.48752893,20.90646495
Main,F3,NSD,female,3.56,9.518929234,7.038696548,12.40174255
Main,F3,NSD,female,3.66,7.367056107,5.21334235,35.35209203
Main,F3,NSD,female,3.47,8.890654615,2.452523027,10.89295744
Main,F3,NSD,female,3.6,9.411817188,6.398327453,18.75757575
Main,F3,LSD,male,2.42,3.8615744,4.946543562,15.04911703
Main,F3,LSD,male,2.53,5.488960881,1.665250551,16.81403815
Main,F3,LSD,male,2.35,3.281936377,6.834900209,14.25134732
Main,F3,LSD,male,2.33,5.8179224,10.22574392,12.50997816
Main,F3,LSD,male,2.14,5.224653094,8.921969925,13.12817473
Main,F3,LSD,male,2.47,5.650465703,4.527649804,13.24622714
Main,F3,LSD,male,2.42,5.295098572,0,14.87074201
Main,F3,LSD,male,2.34,5.755078685,4.908849811,12.36725212
Main,F3,LSD,male,2.37,6.693616196,8.821865367,14.25866772
Main,F3,LSD,male,2.45,4.571234036,7.584276431,14.99289179
Main,F3,LSD,male,2.46,6.208357781,6.674872012,12.21599926
Main,F3,LSD,male,2.55,6.589134424,8.445067956,12.02506979
Main,F3,LSD,male,2.56,6.763879727,7.651245912,12.42961869
Main,F3,LSD,male,2.38,6.28231758,8.591736467,15.43406304
Main,F3,LSD,male,2.44,6.703748842,8.944869357,15.67094879
Main,F3,LSD,male,2.47,8.531902735,11.96878639,9.342974553
Main,F3,LSD,male,2.51,7.501335842,6.536905136,9.821380405
Main,F3,LSD,male,2.34,6.04739968,10.57780166,13.220129
Main,F3,LSD,male,2.74,10.70357357,11.91844083,11.65520801
Main,F3,LSD,male,2.58,8.016112962,7.397106839,10.60423358
Main,F3,LSD,male,2.32,6.417476122,6.534139188,14.99015218
Main,F3,LSD,male,2.38,6.823958735,9.726058869,15.93015
Main,F3,LSD,male,2.38,5.995724627,2.614733805,10.8772132
Main,F3,LSD,male,2.45,9.310901189,13.70907409,13.11286546
Main,F3,LSD,male,2.41,6.14689404,6.564315092,15.21054791
Main,F3,LSD,male,2.58,7.895925902,15.02241883,7.338989815
Main,F3,LSD,male,2.3,6.333458582,5.576207622,15.30880415
Main,F3,LSD,male,2.61,10.1008438,7.26995311,10.36908616
Main,F3,LSD,male,2.4,7.45713566,6.699706656,12.96232668
Main,F3,LSD,male,2.52,8.264768007,8.507888711,15.847915
Main,F3,LSD,male,2.57,6.286678777,7.483840887,15.20665891
Main,F3,LSD,male,2.95,5.875415643,7.984974361,18.79031214
Main,F3,LSD,male,2.53,8.050266594,6.713196267,16.92959046
Main,F3,LSD,female,3.56,8.657039863,10.83654971,17.47563527
Main,F3,LSD,female,3.62,11.14573559,13.88359708,18.32615947
Main,F3,LSD,female,3.65,9.076654436,22.5059775,33.95460944
Main,F3,LSD,female,3.27,8.163768347,8.628246606,16.69051294
Main,F3,LSD,female,3.33,10.11025624,11.20977281,25.56388713
Main,F3,LSD,female,3.44,5.727243316,8.401227909,14.64537098
Main,F3,LSD,female,3.4,0.58486881,17.41118982,19.64392729
Main,F3,LSD,female,3.41,11.67284327,28.17142854,14.90296136
Main,F3,LSD,female,3.12,10.32227236,7.638380654,22.24496061
Main,F3,LSD,female,3.81,10.45788115,0.40331094,15.49779873
Main,F3,LSD,female,3.29,7.712290315,7.118947805,20.42705608
Main,F3,LSD,female,3.49,8.310082752,9.870451911,35.13041657
Main,F3,LSD,female,3.57,6.780220201,9.830551865,13.29300591
Main,F3,LSD,female,3.39,11.1580789,13.06162837,21.10736598
Main,F3,LSD,female,3.5,6.468836831,3.518160725,13.43800315
Main,F3,LSD,female,3.69,10.19443292,17.4643399,26.97805073
Main,F3,LSD,female,3.6,8.811343674,11.46545086,21.61558074
Main,F3,LSD,female,3.5,11.60792665,21.55848683,29.76083438
Main,F3,LSD,female,3.61,9.924872687,18.01896599,13.29252473
Main,F3,LSD,female,3.36,6.847630155,6.356297943,8.903412968
Main,F3,LSD,female,3.6,10.32156187,15.30685916,19.36620027
Main,F3,LSD,female,3.4,10.74907537,13.66555369,20.22453402
Main,F3,LSD,female,3.45,5.923182737,14.72087157,17.69914379
Main,F3,LSD,female,3.64,8.399328054,15.11450759,18.49299615
Main,F3,LSD,female,3.45,7.771518836,4.605128178,18.88611472
Main,F3,LSD,female,3.44,5.455590212,1.71512607,17.72351524
Main,F3,LSD,female,3.59,9.457810321,18.74638553,23.47773432
Main,F3,LSD,female,3.5,6.352834478,10.12399271,11.43790727
Main,F3,LSD,female,3.42,7.996277899,0,8.731576562
Main,F3,LSD,female,3.47,9.518570645,15.78768379,16.25691852
Main,F3,LSD,female,3.49,10.51046206,10.90642503,17.77421414
Main,F3,LSD,female,3.13,5.504149195,6.940389908,7.204870784
Main,F3,LSD,female,3.22,6.542262975,5.42602182,11.29583191
Main,F3,HSD,male,2.56,5.440163968,5.101935486,20.66289542
Main,F3,HSD,male,2.49,7.198876809,6.529218722,23.41853123
Main,F3,HSD,male,2.45,4.013930756,12.64805354,28.73606032
Main,F3,HSD,male,2.46,5.685380744,6.091527687,16.08911216
Main,F3,HSD,male,2.45,5.185380744,1.316638173,15.04261678
Main,F3,HSD,male,2.52,7.431301466,0,16.63679115
Main,F3,HSD,male,2.42,7.156530541,10.13560424,11.8382296
Main,F3,HSD,male,2.58,8.629538654,9.000057789,16.28062886
Main,F3,HSD,male,2.39,8.25573735,10.04382885,17.05201072
Main,F3,HSD,male,2.48,7.780134489,10.1475281,20.0450001
Main,F3,HSD,male,2.53,8.486731157,15.51564891,23.35284577
Main,F3,HSD,male,2.58,12.41517804,7.122917769,9.658482616
Main,F3,HSD,male,2.5,9.81549198,9.821002383,14.82802607
Main,F3,HSD,male,2.53,7.943774405,11.60098528,10.38960497
Main,F3,HSD,male,2.58,8.585338556,13.66267794,13.70805057
Main,F3,HSD,male,2.58,6.624422916,10.13912021,13.72102795
Main,F3,HSD,male,2.55,5.896706883,6.362002087,9.669786869
Main,F3,HSD,male,2.46,7.308465294,-6.763778443,17.10203911
Main,F3,HSD,male,2.44,8.122698437,13.2413147,16.14724345
Main,F3,HSD,male,2.49,10.75957225,10.39217081,22.24906403
Main,F3,HSD,male,2.5,8.528772625,9.437557392,16.51760194
