Generation,Treatment,Sex,SampleNo,Sugar.Weight,Glucose,Trehalose,Glycogen,Fat.Weight,TAG,Fit.Weight,Fitness
F0,LSD,female,25,NA,NA,NA,NA,NA,NA,1.36,184
F0,LSD,female,26,NA,NA,NA,NA,NA,NA,1.34,112
F0,LSD,female,27,NA,NA,NA,NA,NA,NA,1.29,188
F0,LSD,female,28,NA,NA,NA,NA,NA,NA,1.28,137
F0,LSD,female,29,NA,NA,NA,NA,NA,NA,1.22,230
F0,LSD,female,30,NA,NA,NA,NA,NA,NA,1.18,174
F0,HSD,male,1,2.56,5.516171019,42.59070625,54.49599447,2.37,94.40095265,NA,NA
F0,HSD,male,2,2.49,7.319585986,15.76825078,37.8449038,2.43,85.78384875,NA,NA
F0,HSD,male,3,2.45,8.716173327,9.839226075,20.39500854,2.58,75.49624606,NA,NA
F0,HSD,male,4,2.46,14.60109935,18.93776412,36.57389675,2.5,97.09794233,NA,NA
F0,HSD,male,5,2.45,10.44385047,20.25231786,25.88530554,2.62,70.6678796,NA,NA
F0,HSD,male,6,2.52,12.75964592,20.96856398,24.45061243,2.61,119.8695926,NA,NA
F0,HSD,male,7,2.42,10.73255871,4.498742653,30.8626942,2.61,82.06652444,NA,NA
F0,HSD,male,8,2.58,11.28825822,32.6181565,22.50118966,2.52,78.82481295,NA,NA
F0,HSD,male,9,2.39,11.67240563,6.167773639,23.85263628,2.44,93.17234929,NA,NA
F0,HSD,male,10,2.48,10.36484616,15.3389677,31.19795506,2.4,84.4685267,NA,NA
F0,HSD,male,11,2.53,10.09555724,23.991301,34.55475419,2.42,124.7280105,NA,NA
F0,HSD,female,1,3.77,10.83433377,43.16773254,52.91846402,3.63,96.2293186,1.04,44
F0,HSD,female,2,3.4,10.89121337,31.44630457,37.12958413,3.33,46.31013184,1,109
F0,HSD,female,3,3.47,15.93459778,27.80367705,50.35113608,3.41,77.94388032,1.03,133
F0,HSD,female,4,3.47,13.16793693,19.50739259,48.63139258,3.49,84.83500273,1.06,33
F0,HSD,female,5,3.55,12.48508304,23.66391792,51.54022197,3.39,62.44085956,1.07,84
F0,HSD,female,6,3.4,19.47185287,9.307213069,40.81044076,3.65,69.36183153,1.19,152
F0,HSD,female,7,3.44,19.28107058,36.73509588,28.6512607,3.39,78.24944549,1.16,80
F0,HSD,female,8,3.13,11.2784234,23.35272293,43.18264554,3.29,117.0657717,1.22,159
F0,HSD,female,9,3.29,15.7344706,11.22059335,62.46885819,3.11,88.20527276,0.98,55
F0,HSD,female,10,3.61,13.7748124,14.50331178,39.01276858,3.38,90.93375616,1.03,73
F0,HSD,female,11,3.53,12.31053763,32.44515513,49.63236396,3.31,70.36599454,0.9,51
F0,HSD,female,12,NA,NA,NA,NA,NA,NA,1.09,46
F0,HSD,female,13,NA,NA,NA,NA,NA,NA,0.99,8
F0,HSD,female,14,NA,NA,NA,NA,NA,NA,1.27,86
F0,HSD,female,15,NA,NA,NA,NA,NA,NA,1,17
F0,HSD,female,16,NA,NA,NA,NA,NA,NA,0.91,3
F0,HSD,female,17,NA,NA,NA,NA,NA,NA,1.19,133
F0,HSD,female,18,NA,NA,NA,NA,NA,NA,1.2,112
F0,HSD,female,19,NA,NA,NA,NA,NA,NA,0.9,22
F0,HSD,female,20,NA,NA,NA,NA,NA,NA,1.2,95
F0,HSD,female,21,NA,NA,NA,NA,NA,NA,0.98,8
F0,HSD,female,22,NA,NA,NA,NA,NA,NA,0.87,0
F0,HSD,female,23,NA,NA,NA,NA,NA,NA,1.12,69
F0,HSD,female,24,NA,NA,NA,NA,NA,NA,1.12,51
F0,HSD,female,25,NA,NA,NA,NA,NA,NA,0.89,33
F0,HSD,female,26,NA,NA,NA,NA,NA,NA,1.29,129
