Generation,Treatment,Sex,SampleNo,Sugar.Weight,Glucose,Trehalose,Glycogen,Fat.Weight,TAG,DAG,Fit.Weight,Fitness
F0,LSD,female,15,NA,NA,NA,NA,NA,NA,NA,0.99,146
F0,LSD,female,16,NA,NA,NA,NA,NA,NA,NA,1.03,94
F0,LSD,female,17,NA,NA,NA,NA,NA,NA,NA,1.27,0
F0,LSD,female,18,NA,NA,NA,NA,NA,NA,NA,1.19,131
F0,LSD,female,19,NA,NA,NA,NA,NA,NA,NA,1.15,65
F0,LSD,female,20,NA,NA,NA,NA,NA,NA,NA,0.95,80
F0,LSD,female,21,NA,NA,NA,NA,NA,NA,NA,1.09,45
F0,LSD,female,22,NA,NA,NA,NA,NA,NA,NA,1.14,119
F0,LSD,female,23,NA,NA,NA,NA,NA,NA,NA,1.05,86
F0,LSD,female,24,NA,NA,NA,NA,NA,NA,NA,0.91,1
F0,LSD,female,25,NA,NA,NA,NA,NA,NA,NA,1.36,184
F0,LSD,female,26,NA,NA,NA,NA,NA,NA,NA,1.34,112
F0,LSD,female,27,NA,NA,NA,NA,NA,NA,NA,1.29,188
F0,LSD,female,28,NA,NA,NA,NA,NA,NA,NA,1.28,137
F0,LSD,female,29,NA,NA,NA,NA,NA,NA,NA,1.22,230
F0,LSD,female,30,NA,NA,NA,NA,NA,NA,NA,1.18,174
F0,HSD,male,1,2.56,5.6745,39.9288,66.3355,2.37,94.40095265,21.36410287,NA,NA
F0,HSD,male,2,2.49,7.396,18.6196,51.3335,2.43,85.78384875,21.8074786,NA,NA
F0,HSD,male,3,2.45,8.7291,14.152,35.3327,2.58,75.49624606,19.22581541,NA,NA
F0,HSD,male,4,2.46,14.3465,22.9606,54.2321,2.5,97.09794233,25.93317153,NA,NA
F0,HSD,male,5,2.45,10.3782,23.0152,41.5937,2.62,70.6678796,17.51337911,NA,NA
F0,HSD,male,6,2.52,12.5888,24.1593,41.524,2.61,119.8695926,25.9491163,NA,NA
F0,HSD,male,7,2.42,10.6538,10.3123,46.5467,2.61,82.06652444,19.66132938,NA,NA
F0,HSD,male,8,2.58,11.1842,33.247,38.8153,2.52,78.82481295,32.01255047,NA,NA
F0,HSD,male,9,2.39,11.5509,11.8942,40.3331,2.44,93.17234929,17.37047752,NA,NA
F0,HSD,male,10,2.48,10.3028,19.0122,46.6612,2.4,84.4685267,33.47500013,NA,NA
F0,HSD,male,11,2.53,10.0458,25.9621,49.7389,2.42,124.7280105,41.3861367,NA,NA
F0,HSD,female,1,3.77,10.751,41.6903,67.8278,3.63,96.2293186,19.2547024,1.04,44
F0,HSD,female,2,3.4,10.8052,32.2003,52.6669,3.33,46.31013184,21.89547302,1,109
F0,HSD,female,3,3.47,15.6194,30.4736,68.2443,3.41,77.94388032,20.13621007,1.03,133
F0,HSD,female,4,3.47,12.9785,23.0739,65.0234,3.49,84.83500273,26.29845504,1.06,33
F0,HSD,female,5,3.55,12.3267,26.2779,67.4359,3.39,62.44085956,24.85771715,1.07,84
F0,HSD,female,6,3.4,18.9959,16.3368,61.0658,3.65,69.36183153,24.39179698,1.19,152
F0,HSD,female,7,3.44,18.8137,38.5293,49.2575,3.39,78.24944549,26.81504044,1.16,80
F0,HSD,female,8,3.13,11.1749,25.7321,58.7107,3.29,117.0657717,25.11636682,1.22,159
F0,HSD,female,9,3.29,15.4284,16.9791,79.7914,3.11,88.20527276,36.46441288,0.98,55
F0,HSD,female,10,3.61,13.5578,19.1641,56.1112,3.38,90.93375616,58.19557067,1.03,73
F0,HSD,female,11,3.53,12.1601,33.3554,65.5013,3.31,70.36599454,19.6711092,0.9,51
F0,HSD,female,12,NA,NA,NA,NA,NA,NA,NA,1.09,46
F0,HSD,female,13,NA,NA,NA,NA,NA,NA,NA,0.99,8
F0,HSD,female,14,NA,NA,NA,NA,NA,NA,NA,1.27,86
F0,HSD,female,15,NA,NA,NA,NA,NA,NA,NA,1,17
F0,HSD,female,16,NA,NA,NA,NA,NA,NA,NA,0.91,3
F0,HSD,female,17,NA,NA,NA,NA,NA,NA,NA,1.19,133
F0,HSD,female,18,NA,NA,NA,NA,NA,NA,NA,1.2,112
F0,HSD,female,19,NA,NA,NA,NA,NA,NA,NA,0.9,22
F0,HSD,female,20,NA,NA,NA,NA,NA,NA,NA,1.2,95
F0,HSD,female,21,NA,NA,NA,NA,NA,NA,NA,0.98,8
F0,HSD,female,22,NA,NA,NA,NA,NA,NA,NA,0.87,0
F0,HSD,female,23,NA,NA,NA,NA,NA,NA,NA,1.12,69
F0,HSD,female,24,NA,NA,NA,NA,NA,NA,NA,1.12,51
F0,HSD,female,25,NA,NA,NA,NA,NA,NA,NA,0.89,33
F0,HSD,female,26,NA,NA,NA,NA,NA,NA,NA,1.29,129
F0,HSD,female,27,NA,NA,NA,NA,NA,NA,NA,1.12,132
F0,HSD,female,28,NA,NA,NA,NA,NA,NA,NA,1.08,28
F0,HSD,female,29,NA,NA,NA,NA,NA,NA,NA,0.72,7
F0,HSD,female,30,NA,NA,NA,NA,NA,NA,NA,1.02,0
F0,CD,male,1,2.64,9.1971,11.7047,27.9651,2.49,50.8891752,21.42663568,NA,NA
F0,CD,male,2,2.41,12.1341,23.3486,32.1843,2.64,54.12644055,27.60745321,NA,NA
F0,CD,male,3,2.53,8.459,7.0983,25.315,2.6,70.84825148,41.87625616,NA,NA
F0,CD,male,4,2.57,10.7425,24.0519,21.3788,2.39,51.82757704,40.50185343,NA,NA
F0,CD,male,5,2.46,12.1244,19.0753,22.049,2.65,38.730633,24.61806679,NA,NA
F0,CD,male,6,2.51,13.9029,9.4124,24.7423,2.53,67.54039241,31.20792616,NA,NA
F0,CD,male,7,2.57,9.3775,9.0769,21.0084,2.65,51.93318126,36.64084934,NA,NA
F0,CD,male,8,2.46,8.681,18.898,35.1106,2.55,55.37549609,37.82969042,NA,NA
F0,CD,male,9,2.5,12.4035,18.3739,25.1036,2.63,65.0531988,37.49114742,NA,NA
F0,CD,male,10,2.54,10.8608,26.697,21.6241,2.63,77.44252492,40.96156994,NA,NA
F0,CD,male,11,2.49,8.4975,10.3983,17.1003,2.43,55.59516506,47.94446695,NA,NA
F0,CD,female,1,3.59,11.4086,9.6018,31.8954,3.95,71.23312997,746.7067881,1.08,5
F0,CD,female,2,3.66,9.7714,14.8785,41.0707,4.03,83.686435,25.20468513,1.31,84
F0,CD,female,3,3.27,14.0925,22.4304,37.0683,3.76,58.3302483,22.85562573,1.23,169
F0,CD,female,4,3.39,14.1059,22.0568,49.6846,3.42,74.815333,26.43707956,1.26,176
F0,CD,female,5,3.53,14.2709,15.0754,30.8294,3.66,71.23903368,31.04671326,1.4,145
F0,CD,female,6,3.72,15.4286,15.7133,46.3551,3.78,84.79541072,29.77229468,1.04,30
F0,CD,female,7,3.55,13.1525,16.4853,35.4543,3.66,45.57030549,23.12009302,1.07,14
F0,CD,female,8,3.4,12.0633,17.4542,44.9994,3.48,52.2388988,45.11562316,0.93,1
F0,CD,female,9,3.23,9.813,26.6447,31.835,3.57,59.48455625,29.10905079,1.34,129
F0,CD,female,10,3.82,15.2923,21.7205,68.1784,3.74,58.09057879,25.18344047,1.37,115
F0,CD,female,11,3.68,23.7179,18.508,49.9657,3.32,77.45827148,26.50624241,1.19,71
F0,CD,female,12,NA,NA,NA,NA,NA,NA,NA,1.4,86
