metabolite,generation,treatment,sex,pAdj,AllSig,variable,estimate,std.error,statistic,p.value
TAG,F4,NSD,female,0.000371264,***,TreatmentNSD,14.53915659,3.576593429,4.065085081,5.96E-05
TAG,F5,NSD,female,4.07E-22,***,TreatmentNSD,-37.4506401,3.429497281,-10.92015448,5.03E-24
TAG,F0,HSD,male,1.96E-08,***,TreatmentHSD,33.80616302,4.972810625,6.798200368,1.81E-09
TAG,F1,HSD,male,0.569256042, ,TreatmentHSD,-4.624461864,5.214423444,-0.886859672,0.375990102
TAG,F2,HSD,male,0.574897989, ,TreatmentHSD,-4.760790063,5.450853021,-0.873402758,0.383265326
TAG,F3,HSD,male,0.908611134, ,TreatmentHSD,1.601973545,7.427012773,0.215695542,0.829397504
TAG,F4,HSD,male,0.863685809, ,TreatmentHSD,-1.386075617,3.574301993,-0.387789174,0.698412599
TAG,F5,HSD,male,0.673657406, ,TreatmentHSD,2.458432044,3.430274962,0.716686584,0.474055211
TAG,F0,LSD,male,0.001026258,**,TreatmentLSD,-19.33257166,4.960593902,-3.897229252,0.000202718
TAG,F1,LSD,male,0.979280308, ,TreatmentLSD,-0.333829661,5.219701508,-0.063955699,0.949055607
TAG,F2,LSD,male,0.056243062,.,TreatmentLSD,12.4999539,5.447457236,2.294640116,0.022566661
TAG,F3,LSD,male,0.006744132,**,TreatmentLSD,-23.3680429,7.335178902,-3.185749552,0.001623587
TAG,F4,LSD,male,0.170426065, ,TreatmentLSD,6.191813603,3.577224203,1.730898946,0.08436909
TAG,F5,LSD,male,2.05E-12,***,TreatmentLSD,26.52079282,3.427365946,7.737951897,1.14E-13
TAG,F0,NSD,male,6.33E-15,***,TreatmentNSD,-55.39921665,5.306505592,-10.43986776,1.56E-16
TAG,F1,NSD,male,0.457230632, ,TreatmentNSD,5.708067217,5.266074849,1.083932033,0.279418719
TAG,F2,NSD,male,0.257541112, ,TreatmentNSD,-7.98138613,5.433388488,-1.468951861,0.143078395
TAG,F3,NSD,male,0.014081568,*,TreatmentNSD,-21.51349801,7.359601698,-2.923187815,0.003775906
TAG,F4,NSD,male,0.028768121,*,TreatmentNSD,9.2684359,3.575522172,2.592190862,0.009944536
TAG,F5,NSD,male,0.137948263, ,TreatmentNSD,6.456603624,3.429744608,1.882531897,0.060610067
Trehalose,F0,HSD,female,0.00092898,***,TreatmentHSD,9.602468796,2.44020934,3.935100419,0.000177768
Trehalose,F1,HSD,female,0.870826657, ,TreatmentHSD,0.422971936,1.156803478,0.365638541,0.714937934
Trehalose,F2,HSD,female,0.312372381, ,TreatmentHSD,1.898226469,1.403439769,1.352552856,0.177396661
Trehalose,F3,HSD,female,0.038894801,*,TreatmentHSD,-2.765214811,1.122308538,-2.463863295,0.014405482
Trehalose,F4,HSD,female,0.964278687, ,TreatmentHSD,-0.062585945,0.597646841,-0.104720615,0.916659987
Trehalose,F5,HSD,female,0.047470773,*,TreatmentHSD,-1.820036745,0.768743934,-2.367546153,0.018460856
Trehalose,F0,LSD,female,0.137948263, ,TreatmentLSD,-4.648579096,2.448827765,-1.898287484,0.061310339
Trehalose,F1,LSD,female,0.376675424, ,TreatmentLSD,-1.416393362,1.160030593,-1.220996559,0.223215066
Trehalose,F2,LSD,female,0.592713549, ,TreatmentLSD,1.158334207,1.398860818,0.828055367,0.408413449
Trehalose,F3,LSD,female,0.146875148, ,TreatmentLSD,-2.043502574,1.118646823,-1.826762954,0.06890439
Trehalose,F4,LSD,female,0.017374982,*,TreatmentLSD,1.647222894,0.584930349,2.816100922,0.005148143
Trehalose,F5,LSD,female,0.908611134, ,TreatmentLSD,0.173535122,0.7664653,0.226409626,0.821017705
Trehalose,F0,NSD,female,1.96E-06,***,TreatmentNSD,-13.74664795,2.421161054,-5.677709018,2.18E-07
Trehalose,F1,NSD,female,0.245843837, ,TreatmentNSD,1.74023374,1.156251008,1.505065706,0.1335448
Trehalose,F2,NSD,female,0.241333895, ,TreatmentNSD,2.1377454,1.400388798,1.526537061,0.128115525
Trehalose,F3,NSD,female,0.517340732, ,TreatmentNSD,-1.080999624,1.119868725,-0.965291377,0.335313438
Trehalose,F4,NSD,female,0.000455395,***,TreatmentNSD,2.347676425,0.585955025,4.006581262,7.59E-05
Trehalose,F5,NSD,female,0.338085289, ,TreatmentNSD,1.016073994,0.780914299,1.301133806,0.194085999
Trehalose,F0,HSD,male,0.040360576,*,TreatmentHSD,6.017946371,2.424917648,2.481711648,0.015197501
Trehalose,F1,HSD,male,0.871587861, ,TreatmentHSD,0.407484191,1.162891234,0.350406108,0.726323218
Trehalose,F2,HSD,male,0.908611134, ,TreatmentHSD,-0.322780588,1.398552781,-0.230796143,0.81765824
Trehalose,F3,HSD,male,0.521949275, ,TreatmentHSD,1.065769701,1.11840049,0.952941018,0.341522365
Trehalose,F4,HSD,male,0.754926929, ,TreatmentHSD,-0.341688973,0.605918236,-0.563919277,0.573185261
Trehalose,F5,HSD,male,0.88687078, ,TreatmentHSD,-0.218593779,0.76681509,-0.285067133,0.775764757
Trehalose,F0,LSD,male,0.592713549, ,TreatmentLSD,-2.096959969,2.482249937,-0.844781961,0.400783747
Trehalose,F1,LSD,male,0.908611134, ,TreatmentLSD,-0.274981118,1.160834441,-0.236882288,0.812938296
Trehalose,F2,LSD,male,0.872133963, ,TreatmentLSD,-0.47966335,1.399960563,-0.34262633,0.732161845
Trehalose,F3,LSD,male,0.979280308, ,TreatmentLSD,0.077610872,1.119526272,0.069324744,0.944785462
Trehalose,F4,LSD,male,0.908611134, ,TreatmentLSD,-0.130214853,0.606343467,-0.214754277,0.830089184
Trehalose,F5,LSD,male,0.834466729, ,TreatmentLSD,-0.343774327,0.772179246,-0.445200164,0.656455939
Trehalose,F0,NSD,male,1.01E-05,***,TreatmentNSD,-12.78212466,2.428939499,-5.262430237,1.19E-06
Trehalose,F1,NSD,male,0.170426065, ,TreatmentNSD,-2.014044065,1.157208455,-1.740433244,0.082989277
Trehalose,F2,NSD,male,0.832302302, ,TreatmentNSD,-0.653158911,1.404137319,-0.465167403,0.642208567
Trehalose,F3,NSD,male,0.218808119, ,TreatmentNSD,1.783456376,1.122866357,1.588306894,0.113456061
Trehalose,F4,NSD,male,0.98126164, ,TreatmentNSD,0.029027113,0.598862733,0.048470394,0.961370157
Trehalose,F5,NSD,male,0.929974686, ,TreatmentNSD,0.123132476,0.767102427,0.160516342,0.872568842
